,xy,yz,xz
0,"[[-0.19713542  0.68398438]
 [-0.19713542  0.73476563]
 [-0.14244792  0.64296875]
 [-0.14049479  0.6859375 ]
 [-0.25377604  0.72695313]
 [-0.19713542  0.76015625]
 [-0.19713542  0.69960938]
 [-0.19718424  0.26928711]
 [-0.30851237  0.31616211]
 [-0.30851237  0.30249023]
 [-0.25382487  0.35131836]
 [-0.19718424  0.38842773]
 [-0.14444987  0.23999023]
 [-0.08780924  0.28295898]
 [-0.14054362  0.33374023]
 [-0.19718424  0.38061523]
 [-0.19718424  0.42749023]
 [-0.19718424  0.28295898]
 [-0.19718424  0.32788086]]","[[ 0.68398438 -0.42330729]
 [ 0.73476563 -0.38424479]
 [ 0.64296875 -0.33346354]
 [ 0.6859375  -0.39401042]
 [ 0.72695313 -0.46236979]
 [ 0.76015625 -0.56393229]
 [ 0.69960938 -0.62643229]
 [ 0.26928711 -0.44669596]
 [ 0.31616211 -0.42521159]
 [ 0.30249023 -0.51505534]
 [ 0.35131836 -0.52091471]
 [ 0.38842773 -0.57950846]
 [ 0.23999023 -0.16153971]
 [ 0.28295898 -0.19278971]
 [ 0.33374023 -0.19864909]
 [ 0.38061523 -0.19864909]
 [ 0.42749023 -0.16349284]
 [ 0.28295898 -0.07364909]
 [ 0.32788086 -0.05607096]]","[[-0.19713542 -0.42330729]
 [-0.19713542 -0.38424479]
 [-0.14244792 -0.33346354]
 [-0.14049479 -0.39401042]
 [-0.25377604 -0.46236979]
 [-0.19713542 -0.56393229]
 [-0.19713542 -0.62643229]
 [-0.19718424 -0.44669596]
 [-0.30851237 -0.42521159]
 [-0.30851237 -0.51505534]
 [-0.25382487 -0.52091471]
 [-0.19718424 -0.57950846]
 [-0.14444987 -0.16153971]
 [-0.08780924 -0.19278971]
 [-0.14054362 -0.19864909]
 [-0.19718424 -0.19864909]
 [-0.19718424 -0.16349284]
 [-0.19718424 -0.07364909]
 [-0.19718424 -0.05607096]]"
1,"[[-0.25382487  0.37280273]
 [-0.23155382  0.45052083]
 [-0.30851237  0.32397461]
 [-0.22960069  0.49934896]
 [-0.34092882  0.57942708]
 [-0.34092882  0.61458333]
 [-0.34092882  0.48763021]
 [-0.34092882  0.49739583]
 [-0.34092882  0.55403646]
 [-0.28624132  0.43880208]
 [-0.34092882  0.54817708]
 [ 0.66688368 -1.27799479]
 [ 0.58289931 -1.27799479]
 [ 0.72938368 -1.27799479]]","[[ 0.37280273 -0.34513346]
 [ 0.45052083 -0.40820312]
 [ 0.32397461 -0.34513346]
 [ 0.49934896 -0.3203125 ]
 [ 0.57942708 -0.57617188]
 [ 0.61458333 -0.65234375]
 [ 0.48763021 -0.56445312]
 [ 0.49739583 -0.46875   ]
 [ 0.55403646 -0.72265625]
 [ 0.43880208 -0.56835938]
 [ 0.54817708 -0.42773438]
 [-1.27799479  1.61914062]
 [-1.27799479  1.55273438]
 [-1.27799479  1.5546875 ]]","[[-0.25382487 -0.34513346]
 [-0.23155382 -0.40820312]
 [-0.30851237 -0.34513346]
 [-0.22960069 -0.3203125 ]
 [-0.34092882 -0.57617188]
 [-0.34092882 -0.65234375]
 [-0.34092882 -0.56445312]
 [-0.34092882 -0.46875   ]
 [-0.34092882 -0.72265625]
 [-0.28624132 -0.56835938]
 [-0.34092882 -0.42773438]
 [ 0.66688368  1.61914062]
 [ 0.58289931  1.55273438]
 [ 0.72938368  1.5546875 ]]"
2,"[[-0.06380208 -0.1500651 ]
 [-0.06380208 -0.09928385]
 [-0.06380208 -0.1422526 ]
 [-0.06380208 -0.10123698]
 [-0.06380208 -0.1500651 ]
 [-0.06380208 -0.12076823]
 [-0.06380208 -0.1500651 ]
 [-0.06380208 -0.09928385]
 [-0.06380208 -0.1422526 ]
 [-0.06380208 -0.10123698]
 [ 0.09440104  0.06673177]
 [ 0.09830729  0.1311849 ]
 [ 0.04557292  0.12532552]
 [ 0.10416667  0.18001302]
 [ 0.05143229  0.21516927]
 [ 0.09440104  0.06673177]
 [ 0.09830729  0.1311849 ]
 [ 0.10996094  0.08769531]
 [ 0.05917969  0.14433594]
 [ 0.06113281  0.21464844]
 [ 0.10996094  0.12871094]
 [ 0.11191406  0.17363281]
 [-0.01936849  0.14122179]
 [ 0.11582031  0.23613281]
 [-0.12679036  0.34629991]
 [-0.07014974  0.25645616]
 [-0.07014974  0.39903429]]","[[-0.1500651  -0.23649089]
 [-0.09928385 -0.20328776]
 [-0.1422526  -0.17008464]
 [-0.10123698 -0.22672526]
 [-0.1500651  -0.23649089]
 [-0.12076823 -0.33805339]
 [-0.1500651  -0.23649089]
 [-0.09928385 -0.20328776]
 [-0.1422526  -0.17008464]
 [-0.10123698 -0.22672526]
 [ 0.06673177  0.26936849]
 [ 0.1311849   0.13850911]
 [ 0.12532552  0.22249349]
 [ 0.18001302  0.12093099]
 [ 0.21516927  0.25960286]
 [ 0.06673177  0.26936849]
 [ 0.1311849   0.13850911]
 [ 0.08769531  0.1375    ]
 [ 0.14433594  0.11210938]
 [ 0.21464844  0.02421875]
 [ 0.12871094 -0.03828125]
 [ 0.17363281 -0.02265625]
 [ 0.14122179  0.26106771]
 [ 0.23613281 -0.128125  ]
 [ 0.34629991 -0.21158854]
 [ 0.25645616 -0.17252604]
 [ 0.39903429 -0.16861979]]","[[-0.06380208 -0.23649089]
 [-0.06380208 -0.20328776]
 [-0.06380208 -0.17008464]
 [-0.06380208 -0.22672526]
 [-0.06380208 -0.23649089]
 [-0.06380208 -0.33805339]
 [-0.06380208 -0.23649089]
 [-0.06380208 -0.20328776]
 [-0.06380208 -0.17008464]
 [-0.06380208 -0.22672526]
 [ 0.09440104  0.26936849]
 [ 0.09830729  0.13850911]
 [ 0.04557292  0.22249349]
 [ 0.10416667  0.12093099]
 [ 0.05143229  0.25960286]
 [ 0.09440104  0.26936849]
 [ 0.09830729  0.13850911]
 [ 0.10996094  0.1375    ]
 [ 0.05917969  0.11210938]
 [ 0.06113281  0.02421875]
 [ 0.10996094 -0.03828125]
 [ 0.11191406 -0.02265625]
 [-0.01936849  0.26106771]
 [ 0.11582031 -0.128125  ]
 [-0.12679036 -0.21158854]
 [-0.07014974 -0.17252604]
 [-0.07014974 -0.16861979]]"
3,"[[ 0.15250651  0.29161241]
 [ 0.09781901  0.29161241]
 [ 0.04508464  0.35020616]
 [-0.01350911  0.29942491]
 [ 0.21500651  0.33262804]
 [-0.07014974  0.29551866]
 [-0.01350911  0.34629991]
 [-0.01155599  0.39122179]
 [-0.01546224  0.26231554]
 [-0.01350911  0.30723741]
 [-0.07014974  0.35606554]
 [-0.01155599  0.40098741]
 [-0.07014974  0.24278429]
 [-0.43343099 -0.06580946]
 [-0.43343099 -0.06971571]
 [-0.49202474 -0.03846571]
 [-0.44514974 -0.01893446]]","[[ 0.29161241  0.07356771]
 [ 0.29161241  0.15755208]
 [ 0.35020616  0.06575521]
 [ 0.29942491  0.14388021]
 [ 0.33262804  0.04231771]
 [ 0.29551866 -0.25260417]
 [ 0.34629991 -0.21354167]
 [ 0.39122179 -0.24283854]
 [ 0.26231554 -0.07291667]
 [ 0.30723741 -0.09049479]
 [ 0.35606554 -0.07096354]
 [ 0.40098741 -0.11197917]
 [ 0.24278429 -0.29361979]
 [-0.06580946  0.00130208]
 [-0.06971571  0.08528646]
 [-0.03846571  0.08919271]
 [-0.01893446 -0.03776042]]","[[ 0.15250651  0.07356771]
 [ 0.09781901  0.15755208]
 [ 0.04508464  0.06575521]
 [-0.01350911  0.14388021]
 [ 0.21500651  0.04231771]
 [-0.07014974 -0.25260417]
 [-0.01350911 -0.21354167]
 [-0.01155599 -0.24283854]
 [-0.01546224 -0.07291667]
 [-0.01350911 -0.09049479]
 [-0.07014974 -0.07096354]
 [-0.01155599 -0.11197917]
 [-0.07014974 -0.29361979]
 [-0.43343099  0.00130208]
 [-0.43343099  0.08528646]
 [-0.49202474  0.08919271]
 [-0.44514974 -0.03776042]]"
4,"[[ 0.06539917  0.41018677]
 [ 0.01266479  0.46096802]
 [-0.04397583  0.49807739]
 [ 0.01266479  0.44924927]
 [-0.04397583  0.50784302]
 [-0.04397583  0.46292114]
 [-0.04397583  0.51760864]
 [-0.04397583  0.45315552]
 [-0.04397583  0.50003052]
 [ 0.01266479  0.45120239]
 [ 0.01266479  0.50588989]
 [-0.04397583  0.51174927]
 [-0.04397583  0.51760864]
 [ 0.06149292  0.34573364]
 [ 0.09664917 -0.68746948]
 [ 0.10055542 -0.66989136]
 [ 0.04977417 -0.67965698]
 [ 0.10055542 -0.61715698]
 [ 0.10641479 -0.57418823]
 [ 0.14352417 -0.67575073]
 [ 0.19821167 -0.72848511]
 [ 0.15524292 -0.62106323]
 [ 0.09664917 -0.50192261]
 [ 0.14938354 -0.60934448]
 [ 0.15524292 -0.45504761]
 [ 0.14352417 -0.51950073]
 [ 0.14938354 -0.48239136]
 [ 0.20602417 -0.55270386]]","[[ 0.41018677  0.46789551]
 [ 0.46096802  0.45031738]
 [ 0.49807739  0.54406738]
 [ 0.44924927  0.54602051]
 [ 0.50784302  0.47375488]
 [ 0.46292114  0.45031738]
 [ 0.51760864  0.29602051]
 [ 0.45315552  0.52062988]
 [ 0.50003052  0.53430176]
 [ 0.45120239  0.53820801]
 [ 0.50588989  0.47180176]
 [ 0.51174927  0.41906738]
 [ 0.51760864  0.22180176]
 [ 0.34573364  0.58508301]
 [-0.68746948 -1.08093262]
 [-0.66989136 -1.12390137]
 [-0.67965698 -1.08093262]
 [-0.61715698 -1.09851074]
 [-0.57418823 -1.12976074]
 [-0.67575073 -1.06921387]
 [-0.72848511 -1.13562012]
 [-0.62106323 -1.14733887]
 [-0.50192261 -0.97937012]
 [-0.60934448 -1.08874512]
 [-0.45504761 -1.05358887]
 [-0.51950073 -0.98522949]
 [-0.48239136 -1.01647949]
 [-0.55270386 -1.10437012]]","[[ 0.06539917  0.46789551]
 [ 0.01266479  0.45031738]
 [-0.04397583  0.54406738]
 [ 0.01266479  0.54602051]
 [-0.04397583  0.47375488]
 [-0.04397583  0.45031738]
 [-0.04397583  0.29602051]
 [-0.04397583  0.52062988]
 [-0.04397583  0.53430176]
 [ 0.01266479  0.53820801]
 [ 0.01266479  0.47180176]
 [-0.04397583  0.41906738]
 [-0.04397583  0.22180176]
 [ 0.06149292  0.58508301]
 [ 0.09664917 -1.08093262]
 [ 0.10055542 -1.12390137]
 [ 0.04977417 -1.08093262]
 [ 0.10055542 -1.09851074]
 [ 0.10641479 -1.12976074]
 [ 0.14352417 -1.06921387]
 [ 0.19821167 -1.13562012]
 [ 0.15524292 -1.14733887]
 [ 0.09664917 -0.97937012]
 [ 0.14938354 -1.08874512]
 [ 0.15524292 -1.05358887]
 [ 0.14352417 -0.98522949]
 [ 0.14938354 -1.01647949]
 [ 0.20602417 -1.10437012]]"
5,"[[ 0.14352417 -0.44723511]
 [ 0.14938354 -0.40621948]
 [ 0.20602417 -0.34371948]
 [ 0.10055542 -0.34957886]
 [ 0.14352417 -0.33590698]
 [ 0.00875854  0.37698364]
 [ 0.01071167  0.41604614]
 [ 0.01266479  0.46292114]
 [ 0.01266479  0.50979614]
 [ 0.06149292  0.37307739]
 [ 0.06539917  0.41995239]
 [ 0.01266479  0.46878052]
 [-0.04397583  0.51760864]
 [ 0.00680542  0.32620239]
 [-0.04397583  0.56448364]
 [-0.46585083  0.10940552]
 [-0.47952271  0.16409302]
 [-0.44241333  0.21487427]
 [-0.51272583  0.09378052]
 [-0.47952271  0.15042114]
 [-0.49319458  0.20706177]
 [-0.41897583  0.11526489]
 [-0.43069458  0.17581177]
 [-0.49319458  0.20120239]
 [-0.41897583  0.13479614]
 [-0.43069458  0.17581177]]","[[-0.44723511 -0.93640137]
 [-0.40621948 -0.96374512]
 [-0.34371948 -0.96569824]
 [-0.34957886 -0.92858887]
 [-0.33590698 -0.84851074]
 [ 0.37698364  0.25109863]
 [ 0.41604614  0.11047363]
 [ 0.46292114  0.11047363]
 [ 0.50979614  0.12414551]
 [ 0.37307739  0.35266113]
 [ 0.41995239  0.22766113]
 [ 0.46878052  0.20812988]
 [ 0.51760864  0.21789551]
 [ 0.32620239  0.38000488]
 [ 0.56448364  0.26672363]
 [ 0.10940552  0.51867676]
 [ 0.16409302  0.45227051]
 [ 0.21487427  0.51086426]
 [ 0.09378052  0.52258301]
 [ 0.15042114  0.54406738]
 [ 0.20706177  0.46789551]
 [ 0.11526489  0.55773926]
 [ 0.17581177  0.46398926]
 [ 0.20120239  0.50305176]
 [ 0.13479614  0.41516113]
 [ 0.17581177  0.45422363]]","[[ 0.14352417 -0.93640137]
 [ 0.14938354 -0.96374512]
 [ 0.20602417 -0.96569824]
 [ 0.10055542 -0.92858887]
 [ 0.14352417 -0.84851074]
 [ 0.00875854  0.25109863]
 [ 0.01071167  0.11047363]
 [ 0.01266479  0.11047363]
 [ 0.01266479  0.12414551]
 [ 0.06149292  0.35266113]
 [ 0.06539917  0.22766113]
 [ 0.01266479  0.20812988]
 [-0.04397583  0.21789551]
 [ 0.00680542  0.38000488]
 [-0.04397583  0.26672363]
 [-0.46585083  0.51867676]
 [-0.47952271  0.45227051]
 [-0.44241333  0.51086426]
 [-0.51272583  0.52258301]
 [-0.47952271  0.54406738]
 [-0.49319458  0.46789551]
 [-0.41897583  0.55773926]
 [-0.43069458  0.46398926]
 [-0.49319458  0.50305176]
 [-0.41897583  0.41516113]
 [-0.43069458  0.45422363]]"
6,"[[-0.08739347  0.1440696 ]
 [-0.13817472  0.14211648]
 [-0.13817472  0.10110085]
 [-0.13817472  0.13821023]
 [-0.13817472  0.18899148]
 [-0.18504972  0.04055398]
 [-0.13817472  0.09133523]
 [-0.13817472  0.13821023]
 [-0.13817472  0.18117898]
 [-0.13817472  0.0346946 ]
 [-0.13817472  0.07961648]
 [-0.13817472  0.12258523]
 [-0.13817472  0.1596946 ]
 [-0.08544034  0.1596946 ]
 [ 0.02979403  0.33352273]
 [-0.02879972  0.27883523]
 [-0.02684659  0.33352273]
 [-0.08153409  0.3862571 ]
 [ 0.02393466  0.2612571 ]
 [ 0.01221591 -0.47116477]
 [ 0.05518466 -0.57858665]
 [ 0.05518466 -0.4418679 ]
 [ 0.01612216 -0.45553977]]","[[ 0.1440696   0.44460227]
 [ 0.14211648  0.2199929 ]
 [ 0.10110085  0.15358665]
 [ 0.13821023  0.2434304 ]
 [ 0.18899148  0.2199929 ]
 [ 0.04055398  0.25710227]
 [ 0.09133523  0.23366477]
 [ 0.13821023  0.24538352]
 [ 0.18117898  0.26882102]
 [ 0.0346946   0.30007102]
 [ 0.07961648  0.3137429 ]
 [ 0.12258523  0.33132102]
 [ 0.1596946   0.38210227]
 [ 0.1596946   0.55397727]
 [ 0.33352273  0.08132102]
 [ 0.27883523  0.22194602]
 [ 0.33352273  0.13210227]
 [ 0.3862571   0.08913352]
 [ 0.2612571   0.31569602]
 [-0.47116477 -1.23703835]
 [-0.57858665 -1.25266335]
 [-0.4418679  -1.1471946 ]
 [-0.45553977 -1.28586648]]","[[-0.08739347  0.44460227]
 [-0.13817472  0.2199929 ]
 [-0.13817472  0.15358665]
 [-0.13817472  0.2434304 ]
 [-0.13817472  0.2199929 ]
 [-0.18504972  0.25710227]
 [-0.13817472  0.23366477]
 [-0.13817472  0.24538352]
 [-0.13817472  0.26882102]
 [-0.13817472  0.30007102]
 [-0.13817472  0.3137429 ]
 [-0.13817472  0.33132102]
 [-0.13817472  0.38210227]
 [-0.08544034  0.55397727]
 [ 0.02979403  0.08132102]
 [-0.02879972  0.22194602]
 [-0.02684659  0.13210227]
 [-0.08153409  0.08913352]
 [ 0.02393466  0.31569602]
 [ 0.01221591 -1.23703835]
 [ 0.05518466 -1.25266335]
 [ 0.05518466 -1.1471946 ]
 [ 0.01612216 -1.28586648]]"
7,"[[-0.03270597  0.23391335]
 [-0.08544034  0.22610085]
 [-0.13817472  0.28274148]
 [ 0.01612216  0.18508523]
 [-0.13817472  0.3393821 ]
 [-0.13817472  0.38430398]
 [-0.19481534  0.3862571 ]
 [-0.21430822  0.4468876 ]
 [-0.26899572  0.4937626 ]
 [-0.58739347  0.06008523]
 [-0.59911222  0.1050071 ]
 [-0.57372159 -0.00632102]
 [-0.58739347  0.05227273]
 [-0.59911222  0.09328835]
 [-0.52489347 -0.00827415]
 [-0.31782384  0.25743448]
 [-0.31977697  0.30430948]
 [-0.26899572  0.35118448]
 [-0.26899572  0.39610635]
 [-0.26899572  0.21055948]
 [-0.31782384  0.25352823]
 [-0.31977697  0.2984501 ]
 [-0.26899572  0.34337198]
 [-0.26899572  0.19493448]
 [-0.31782384  0.24571573]
 [-0.31977697  0.29259073]]","[[ 0.23391335  0.21022727]
 [ 0.22610085  0.28053977]
 [ 0.28274148  0.22585227]
 [ 0.18508523  0.18678977]
 [ 0.3393821  -0.08664773]
 [ 0.38430398 -0.09641335]
 [ 0.3862571  -0.0378196 ]
 [ 0.4468876   0.0047568 ]
 [ 0.4937626  -0.07727445]
 [ 0.06008523  0.31764915]
 [ 0.1050071   0.3215554 ]
 [-0.00632102  0.40553977]
 [ 0.05227273  0.35671165]
 [ 0.09328835  0.3762429 ]
 [-0.00827415  0.46022727]
 [ 0.25743448  0.05553805]
 [ 0.30430948  0.04967868]
 [ 0.35118448  0.0672568 ]
 [ 0.39610635  0.11803805]
 [ 0.21055948  0.08092868]
 [ 0.25352823  0.12585055]
 [ 0.2984501   0.14147555]
 [ 0.34337198  0.1610068 ]
 [ 0.19493448  0.2156943 ]
 [ 0.24571573  0.1922568 ]
 [ 0.29259073  0.19420993]]","[[-0.03270597  0.21022727]
 [-0.08544034  0.28053977]
 [-0.13817472  0.22585227]
 [ 0.01612216  0.18678977]
 [-0.13817472 -0.08664773]
 [-0.13817472 -0.09641335]
 [-0.19481534 -0.0378196 ]
 [-0.21430822  0.0047568 ]
 [-0.26899572 -0.07727445]
 [-0.58739347  0.31764915]
 [-0.59911222  0.3215554 ]
 [-0.57372159  0.40553977]
 [-0.58739347  0.35671165]
 [-0.59911222  0.3762429 ]
 [-0.52489347  0.46022727]
 [-0.31782384  0.05553805]
 [-0.31977697  0.04967868]
 [-0.26899572  0.0672568 ]
 [-0.26899572  0.11803805]
 [-0.26899572  0.08092868]
 [-0.31782384  0.12585055]
 [-0.31977697  0.14147555]
 [-0.26899572  0.1610068 ]
 [-0.26899572  0.2156943 ]
 [-0.31782384  0.1922568 ]
 [-0.31977697  0.19420993]]"
8,"[[-0.26899572  0.34141885]
 [-0.26899572  0.39024698]
 [-0.22016759  0.2437626 ]
 [-0.16938634  0.28477823]
 [-0.21821447  0.33360635]
 [-0.26899572  0.38634073]
 [ 0.73295741 -0.74256552]
 [ 0.76030116 -0.6390499 ]
 [ 0.73295741 -0.6624874 ]
 [ 0.76030116 -0.60584677]
 [-0.31782384  0.22423135]
 [-0.31977697  0.27110635]
 [-0.31977697  0.31602823]
 [-0.26899572  0.34727823]
 [-0.26899572  0.20860635]
 [-0.26899572  0.25548135]
 [-0.26899572  0.3062626 ]
 [-0.26899572  0.35704385]
 [-0.26899572  0.21446573]
 [-0.26899572  0.24180948]
 [-0.26899572  0.27891885]
 [-0.36274572  0.19298135]
 [ 0.67826991 -0.3031124 ]
 [ 0.70170741 -0.34412802]
 [ 0.78569178 -0.4359249 ]
 [ 0.76030116 -0.3656124 ]
 [ 0.78569178 -0.4515499 ]
 [ 0.77787928 -1.2874874 ]
 [ 0.75248866 -1.2874874 ]
 [ 0.77787928 -1.2874874 ]]","[[ 0.34141885  0.18835055]
 [ 0.39024698  0.16295993]
 [ 0.2437626   0.19811618]
 [ 0.28477823  0.22936618]
 [ 0.33360635  0.23522555]
 [ 0.38634073  0.20983493]
 [-0.74256552 -1.38196195]
 [-0.6390499  -1.3780557 ]
 [-0.6624874  -1.3468057 ]
 [-0.60584677 -1.3624307 ]
 [ 0.22423135  0.30749118]
 [ 0.27110635  0.3172568 ]
 [ 0.31602823  0.33483493]
 [ 0.34727823  0.40905368]
 [ 0.20860635  0.3797568 ]
 [ 0.25548135  0.38366305]
 [ 0.3062626   0.3797568 ]
 [ 0.35704385  0.36608493]
 [ 0.21446573  0.3563193 ]
 [ 0.24180948  0.43835055]
 [ 0.27891885  0.4735068 ]
 [ 0.19298135  0.21178805]
 [-0.3031124  -1.15735257]
 [-0.34412802 -1.24133695]
 [-0.4359249  -1.3077432 ]
 [-0.3656124  -1.21008695]
 [-0.4515499  -1.31946195]
 [-1.2874874   1.78795993]
 [-1.2874874   1.73327243]
 [-1.2874874   1.78795993]]","[[-0.26899572  0.18835055]
 [-0.26899572  0.16295993]
 [-0.22016759  0.19811618]
 [-0.16938634  0.22936618]
 [-0.21821447  0.23522555]
 [-0.26899572  0.20983493]
 [ 0.73295741 -1.38196195]
 [ 0.76030116 -1.3780557 ]
 [ 0.73295741 -1.3468057 ]
 [ 0.76030116 -1.3624307 ]
 [-0.31782384  0.30749118]
 [-0.31977697  0.3172568 ]
 [-0.31977697  0.33483493]
 [-0.26899572  0.40905368]
 [-0.26899572  0.3797568 ]
 [-0.26899572  0.38366305]
 [-0.26899572  0.3797568 ]
 [-0.26899572  0.36608493]
 [-0.26899572  0.3563193 ]
 [-0.26899572  0.43835055]
 [-0.26899572  0.4735068 ]
 [-0.36274572  0.21178805]
 [ 0.67826991 -1.15735257]
 [ 0.70170741 -1.24133695]
 [ 0.78569178 -1.3077432 ]
 [ 0.76030116 -1.21008695]
 [ 0.78569178 -1.31946195]
 [ 0.77787928  1.78795993]
 [ 0.75248866  1.73327243]
 [ 0.77787928  1.78795993]]"
9,"[[-0.09033203  0.01611328]
 [-0.14111328  0.06298828]
 [-0.14111328  0.11181641]
 [-0.13916016  0.00439453]
 [-0.18994141  0.04931641]
 [-0.14111328  0.10400391]
 [-0.18798828 -0.01318359]
 [-0.18994141  0.02783203]
 [-0.19384766  0.08056641]]","[[ 0.01611328  0.183524  ]
 [ 0.06298828  0.17961775]
 [ 0.11181641  0.15032087]
 [ 0.00439453  0.27532087]
 [ 0.04931641  0.27141462]
 [ 0.10400391  0.22844587]
 [-0.01318359  0.355399  ]
 [ 0.02783203  0.386649  ]
 [ 0.08056641  0.3632115 ]]","[[-0.09033203  0.183524  ]
 [-0.14111328  0.17961775]
 [-0.14111328  0.15032087]
 [-0.13916016  0.27532087]
 [-0.18994141  0.27141462]
 [-0.14111328  0.22844587]
 [-0.18798828  0.355399  ]
 [-0.18994141  0.386649  ]
 [-0.19384766  0.3632115 ]]"
