,xy,yz,xz
0,"[[-0.22584945  0.26618304]
 [-0.22584945  0.31501116]
 [-0.22584945  0.36383929]
 [-0.22584945  0.27008929]
 [-0.22584945  0.31696429]
 [-0.22584945  0.36383929]
 [-0.22584945  0.21149554]
 [-0.22584945  0.41071429]
 [-0.22584945  0.20758929]
 [-0.27467758  0.26227679]
 [-0.22584945  0.30915179]
 [-0.22584945  0.35993304]
 [-0.22584945  0.40876116]]","[[0.26618304 0.30087426]
 [0.31501116 0.26571801]
 [0.36383929 0.23251488]
 [0.27008929 0.21688988]
 [0.31696429 0.18954613]
 [0.36383929 0.13681176]
 [0.21149554 0.37509301]
 [0.41071429 0.22470238]
 [0.20758929 0.40829613]
 [0.26227679 0.34579613]
 [0.30915179 0.33993676]
 [0.35993304 0.31063988]
 [0.40876116 0.27548363]]","[[-0.22584945  0.30087426]
 [-0.22584945  0.26571801]
 [-0.22584945  0.23251488]
 [-0.22584945  0.21688988]
 [-0.22584945  0.18954613]
 [-0.22584945  0.13681176]
 [-0.22584945  0.37509301]
 [-0.22584945  0.22470238]
 [-0.22584945  0.40829613]
 [-0.27467758  0.34579613]
 [-0.22584945  0.33993676]
 [-0.22584945  0.31063988]
 [-0.22584945  0.27548363]]"
1,"[[-0.41104126  0.29840088]
 [-0.41299438  0.34527588]
 [-0.40713501  0.26324463]
 [-0.41104126  0.315979  ]
 [-0.41299438  0.36480713]
 [-0.41690063  0.40386963]
 [-0.45401001  0.24176025]
 [-0.31338501  0.39019775]
 [-0.45401001  0.2456665 ]
 [-0.45791626  0.28863525]
 [-0.46377563  0.331604  ]]","[[0.29840088 0.55303955]
 [0.34527588 0.56280518]
 [0.26324463 0.49639893]
 [0.315979   0.4631958 ]
 [0.36480713 0.4631958 ]
 [0.40386963 0.50616455]
 [0.24176025 0.5725708 ]
 [0.39019775 0.59014893]
 [0.2456665  0.5569458 ]
 [0.28863525 0.5803833 ]
 [0.331604   0.6038208 ]]","[[-0.41104126  0.55303955]
 [-0.41299438  0.56280518]
 [-0.40713501  0.49639893]
 [-0.41104126  0.4631958 ]
 [-0.41299438  0.4631958 ]
 [-0.41690063  0.50616455]
 [-0.45401001  0.5725708 ]
 [-0.31338501  0.59014893]
 [-0.45401001  0.5569458 ]
 [-0.45791626  0.5803833 ]
 [-0.46377563  0.6038208 ]]"
2,"[[-0.08298142  0.01129645]
 [-0.08298142  0.01324958]
 [-0.12595017 -0.06096917]
 [-0.08298142 -0.00237542]
 [-0.12204392 -0.07659417]
 [-0.07907517 -0.02776605]
 [-0.07712204 -0.09221917]
 [-0.07907517 -0.03557855]
 [ 0.01467483  0.0542652 ]
 [-0.12204392 -0.11565667]
 [-0.08493454  0.0386402 ]]","[[ 0.01129645  0.39046664]
 [ 0.01324958  0.38460726]
 [-0.06096917  0.45687289]
 [-0.00237542  0.43929476]
 [-0.07659417  0.34359164]
 [-0.02776605  0.35531039]
 [-0.09221917  0.40999789]
 [-0.03557855  0.38265414]
 [ 0.0542652   0.41976351]
 [-0.11565667  0.47445101]
 [ 0.0386402   0.46663851]]","[[-0.08298142  0.39046664]
 [-0.08298142  0.38460726]
 [-0.12595017  0.45687289]
 [-0.08298142  0.43929476]
 [-0.12204392  0.34359164]
 [-0.07907517  0.35531039]
 [-0.07712204  0.40999789]
 [-0.07907517  0.38265414]
 [ 0.01467483  0.41976351]
 [-0.12204392  0.47445101]
 [-0.08493454  0.46663851]]"
3,"[[-0.02164714 -0.07958984]
 [-0.02555339 -0.02880859]
 [-0.03079928 -0.10291466]
 [-0.03470553 -0.04432091]
 [-0.03861178  0.01036659]
 [-0.03470553 -0.06971154]
 [-0.03861178 -0.00721154]
 [ 0.01822917 -0.04947917]
 [-0.02945964  0.04541016]
 [-0.06070964 -0.17919922]
 [-0.02945964  0.02978516]
 [-0.03079928 -0.12244591]
 [-0.03079928 -0.14783654]
 [-0.03470553 -0.09705529]
 [-0.0874399  -0.03260216]
 [-0.03255208  0.03841146]
 [ 0.01432292  0.01106771]]","[[-0.07958984 -0.01188151]
 [-0.02880859 -0.02164714]
 [-0.10291466  0.04987981]
 [-0.04432091  0.01277043]
 [ 0.01036659 -0.01847957]
 [-0.06971154  0.11042668]
 [-0.00721154  0.05378606]
 [-0.04947917  0.0625    ]
 [ 0.04541016 -0.11539714]
 [-0.17919922  0.10725911]
 [ 0.02978516 -0.05289714]
 [-0.12244591  0.12214543]
 [-0.14783654  0.19245793]
 [-0.09705529  0.19050481]
 [-0.03260216  0.12995793]
 [ 0.03841146 -0.08984375]
 [ 0.01106771  0.02734375]]","[[-0.02164714 -0.01188151]
 [-0.02555339 -0.02164714]
 [-0.03079928  0.04987981]
 [-0.03470553  0.01277043]
 [-0.03861178 -0.01847957]
 [-0.03470553  0.11042668]
 [-0.03861178  0.05378606]
 [ 0.01822917  0.0625    ]
 [-0.02945964 -0.11539714]
 [-0.06070964  0.10725911]
 [-0.02945964 -0.05289714]
 [-0.03079928  0.12214543]
 [-0.03079928  0.19245793]
 [-0.03470553  0.19050481]
 [-0.0874399   0.12995793]
 [-0.03255208 -0.08984375]
 [ 0.01432292  0.02734375]]"
4,"[[-0.03295898 -0.0736084 ]
 [-0.03295898 -0.08337402]
 [-0.03686523 -0.03259277]
 [-0.08569336 -0.0579834 ]
 [-0.02905273 -0.12438965]
 [ 0.01391602 -0.0579834 ]
 [-0.03686523 -0.00915527]
 [-0.02905273 -0.1282959 ]
 [-0.03686523 -0.0111084 ]
 [-0.02905273 -0.14001465]]","[[-0.0736084   0.01538086]
 [-0.08337402  0.04858398]
 [-0.03259277  0.04272461]
 [-0.0579834   0.10327148]
 [-0.12438965  0.02514648]
 [-0.0579834  -0.02172852]
 [-0.00915527 -0.04711914]
 [-0.1282959   0.03881836]
 [-0.0111084  -0.03344727]
 [-0.14001465  0.07397461]]","[[-0.03295898  0.01538086]
 [-0.03295898  0.04858398]
 [-0.03686523  0.04272461]
 [-0.08569336  0.10327148]
 [-0.02905273  0.02514648]
 [ 0.01391602 -0.02172852]
 [-0.03686523 -0.04711914]
 [-0.02905273  0.03881836]
 [-0.03686523 -0.03344727]
 [-0.02905273  0.07397461]]"
5,"[[-0.26914063  0.16975911]
 [-0.22617187  0.21663411]
 [-0.2671875   0.11897786]
 [-0.3140625   0.15804036]
 [-0.27304688  0.20686849]
 [-0.321875    0.25764974]
 [-0.31796875  0.20100911]
 [-0.26914063  0.16585286]
 [-0.27304688  0.20686849]
 [-0.35703125  0.15999349]
 [-0.35117188  0.11311849]
 [-0.275       0.25960286]
 [-0.3140625   0.14241536]]","[[0.16975911 0.27981771]
 [0.21663411 0.31106771]
 [0.11897786 0.31106771]
 [0.15804036 0.34622396]
 [0.20686849 0.35989583]
 [0.25764974 0.31302083]
 [0.20100911 0.38138021]
 [0.16585286 0.31692708]
 [0.20686849 0.35794271]
 [0.15999349 0.30325521]
 [0.11311849 0.30325521]
 [0.25960286 0.31692708]
 [0.14241536 0.43606771]]","[[-0.26914063  0.27981771]
 [-0.22617187  0.31106771]
 [-0.2671875   0.31106771]
 [-0.3140625   0.34622396]
 [-0.27304688  0.35989583]
 [-0.321875    0.31302083]
 [-0.31796875  0.38138021]
 [-0.26914063  0.31692708]
 [-0.27304688  0.35794271]
 [-0.35703125  0.30325521]
 [-0.35117188  0.30325521]
 [-0.275       0.31692708]
 [-0.3140625   0.43606771]]"
6,"[[0.11306424 0.22233073]
 [0.11306424 0.22233073]
 [0.11111111 0.1266276 ]
 [0.16775174 0.17154948]
 [0.11501736 0.2672526 ]
 [0.05642361 0.12858073]
 [0.05642361 0.1735026 ]
 [0.11501736 0.26529948]
 [0.05642361 0.2203776 ]
 [0.11501736 0.26920573]]","[[ 0.22233073 -0.05371094]
 [ 0.22233073 -0.05761719]
 [ 0.1266276   0.02050781]
 [ 0.17154948 -0.02636719]
 [ 0.2672526   0.00878906]
 [ 0.12858073 -0.06347656]
 [ 0.1735026  -0.14550781]
 [ 0.26529948  0.03417969]
 [ 0.2203776   0.00878906]
 [ 0.26920573 -0.08886719]]","[[ 0.11306424 -0.05371094]
 [ 0.11306424 -0.05761719]
 [ 0.11111111  0.02050781]
 [ 0.16775174 -0.02636719]
 [ 0.11501736  0.00878906]
 [ 0.05642361 -0.06347656]
 [ 0.05642361 -0.14550781]
 [ 0.11501736  0.03417969]
 [ 0.05642361  0.00878906]
 [ 0.11501736 -0.08886719]]"
