,xy,yz,xz
0,"[[0.06966146 0.09859664]
 [0.01106771 0.04781539]
 [0.06966146 0.08883102]
 [0.07356771 0.14742477]
 [0.07356771 0.14937789]
 [0.07356771 0.14742477]
 [0.01106771 0.05562789]
 [0.06966146 0.10054977]
 [0.00716146 0.01070602]
 [0.06380208 0.04976852]]","[[ 0.09859664 -0.10134549]
 [ 0.04781539 -0.02126736]
 [ 0.08883102 -0.00368924]
 [ 0.14742477 -0.13259549]
 [ 0.14937789 -0.20876736]
 [ 0.14742477 -0.15993924]
 [ 0.05562789 -0.10720486]
 [ 0.10054977 -0.16189236]
 [ 0.01070602 -0.13845486]
 [ 0.04976852 -0.09548611]]","[[ 0.06966146 -0.10134549]
 [ 0.01106771 -0.02126736]
 [ 0.06966146 -0.00368924]
 [ 0.07356771 -0.13259549]
 [ 0.07356771 -0.20876736]
 [ 0.07356771 -0.15993924]
 [ 0.01106771 -0.10720486]
 [ 0.06966146 -0.16189236]
 [ 0.00716146 -0.13845486]
 [ 0.06380208 -0.09548611]]"
1,"[[-0.00282118 -0.02604167]
 [ 0.00065104  0.02734375]
 [-0.00325521 -0.01953125]
 [ 0.08370536 -0.00418527]
 [ 0.02511161 -0.00418527]
 [ 0.00303819  0.05989583]
 [-0.00477431 -0.07291667]
 [ 0.00108507  0.02669271]
 [-0.00325521 -0.02148438]
 [ 0.06510417  0.06445312]
 [ 0.05924479  0.01171875]
 [-0.03543527 -0.03934152]
 [ 0.07784598 -0.05301339]
 [-0.02957589  0.05050223]
 [ 0.10658482  0.08133371]]","[[-0.02604167 -0.04492188]
 [ 0.02734375  0.01171875]
 [-0.01953125  0.00585938]
 [-0.00418527  0.01506696]
 [-0.00418527 -0.08258929]
 [ 0.05989583  0.02539062]
 [-0.07291667 -0.03710938]
 [ 0.02669271 -0.19335938]
 [-0.02148438  0.08398438]
 [ 0.06445312 -0.08789062]
 [ 0.01171875 -0.1484375 ]
 [-0.03934152  0.05022321]
 [-0.05301339 -0.00446429]
 [ 0.05050223 -0.02790179]
 [ 0.08133371  0.0672433 ]]","[[-0.00282118 -0.04492188]
 [ 0.00065104  0.01171875]
 [-0.00325521  0.00585938]
 [ 0.08370536  0.01506696]
 [ 0.02511161 -0.08258929]
 [ 0.00303819  0.02539062]
 [-0.00477431 -0.03710938]
 [ 0.00108507 -0.19335938]
 [-0.00325521  0.08398438]
 [ 0.06510417 -0.08789062]
 [ 0.05924479 -0.1484375 ]
 [-0.03543527  0.05022321]
 [ 0.07784598 -0.00446429]
 [-0.02957589 -0.02790179]
 [ 0.10658482  0.0672433 ]]"
2,"[[-0.17990451  0.34624566]
 [-0.17990451  0.34819878]
 [-0.17990451  0.32866753]
 [-0.17990451  0.37749566]
 [-0.17990451  0.39702691]
 [-0.17990451  0.30913628]
 [-0.17990451  0.35405816]
 [-0.17990451  0.39898003]
 [-0.17990451  0.30132378]
 [-0.17990451  0.39898003]]","[[ 0.34624566 -0.49989149]
 [ 0.34819878 -0.48621962]
 [ 0.32866753 -0.60340712]
 [ 0.37749566 -0.59950087]
 [ 0.39702691 -0.46082899]
 [ 0.30913628 -0.40809462]
 [ 0.35405816 -0.42176649]
 [ 0.39898003 -0.45496962]
 [ 0.30132378 -0.47254774]
 [ 0.39898003 -0.44325087]]","[[-0.17990451 -0.49989149]
 [-0.17990451 -0.48621962]
 [-0.17990451 -0.60340712]
 [-0.17990451 -0.59950087]
 [-0.17990451 -0.46082899]
 [-0.17990451 -0.40809462]
 [-0.17990451 -0.42176649]
 [-0.17990451 -0.45496962]
 [-0.17990451 -0.47254774]
 [-0.17990451 -0.44325087]]"
3,"[[-0.0379136  -0.00390625]
 [-0.03986673 -0.04882812]
 [-0.09650735  0.04296875]
 [-0.09650735  0.09179688]
 [ 0.0792739  -0.01171875]
 [ 0.0245864   0.0390625 ]
 [-0.03986673 -0.0546875 ]
 [-0.03186678 -0.07370477]
 [ 0.02672697 -0.02878289]
 [ 0.0286801   0.01809211]]","[[-0.00390625  0.06456801]
 [-0.04882812 -0.00769761]
 [ 0.04296875  0.09972426]
 [ 0.09179688  0.03527114]
 [-0.01171875  0.06066176]
 [ 0.0390625   0.09191176]
 [-0.0546875   0.13488051]
 [-0.07370477  0.0806949 ]
 [-0.02878289  0.02405428]
 [ 0.01809211  0.05139803]]","[[-0.0379136   0.06456801]
 [-0.03986673 -0.00769761]
 [-0.09650735  0.09972426]
 [-0.09650735  0.03527114]
 [ 0.0792739   0.06066176]
 [ 0.0245864   0.09191176]
 [-0.03986673  0.13488051]
 [-0.03186678  0.0806949 ]
 [ 0.02672697  0.02405428]
 [ 0.0286801   0.05139803]]"
4,"[[ 0.04821135  0.01398026]
 [-0.0103824   0.01593339]
 [ 0.06547619  0.02864583]
 [ 0.00688244 -0.05729167]
 [-0.06702303 -0.03680099]
 [ 0.04821135  0.01593339]
 [ 0.05016447  0.06280839]
 [-0.00647615  0.11163651]
 [-0.00842928  0.06280839]
 [-0.00647615  0.10968339]
 [ 0.0443051  -0.03094161]]","[[ 0.01398026  0.0547903 ]
 [ 0.01593339  0.08408717]
 [ 0.02864583  0.16731771]
 [-0.05729167  0.12630208]
 [-0.03680099  0.15049342]
 [ 0.01593339  0.03721217]
 [ 0.06280839  0.01768092]
 [ 0.11163651  0.0235403 ]
 [ 0.06280839  0.0938528 ]
 [ 0.10968339  0.06846217]
 [-0.03094161 -0.01747533]]","[[ 0.04821135  0.0547903 ]
 [-0.0103824   0.08408717]
 [ 0.06547619  0.16731771]
 [ 0.00688244  0.12630208]
 [-0.06702303  0.15049342]
 [ 0.04821135  0.03721217]
 [ 0.05016447  0.01768092]
 [-0.00647615  0.0235403 ]
 [-0.00842928  0.0938528 ]
 [-0.00647615  0.06846217]
 [ 0.0443051  -0.01747533]]"
5,"[[0.12958984 0.23515625]
 [0.13544922 0.32890625]
 [0.12958984 0.23515625]
 [0.13544922 0.32890625]
 [0.07099609 0.1921875 ]
 [0.19013672 0.278125  ]
 [0.12958984 0.23320312]
 [0.13154297 0.278125  ]
 [0.13544922 0.32695312]
 [0.07099609 0.1921875 ]
 [0.19013672 0.278125  ]
 [0.12958984 0.23320312]]","[[ 0.23515625 -0.06826172]
 [ 0.32890625 -0.03701172]
 [ 0.23515625 -0.06826172]
 [ 0.32890625 -0.03701172]
 [ 0.1921875  -0.10732422]
 [ 0.278125   -0.03701172]
 [ 0.23320312  0.00595703]
 [ 0.278125    0.03916016]
 [ 0.32695312 -0.15810547]
 [ 0.1921875  -0.10732422]
 [ 0.278125   -0.03701172]
 [ 0.23320312  0.00595703]]","[[ 0.12958984 -0.06826172]
 [ 0.13544922 -0.03701172]
 [ 0.12958984 -0.06826172]
 [ 0.13544922 -0.03701172]
 [ 0.07099609 -0.10732422]
 [ 0.19013672 -0.03701172]
 [ 0.12958984  0.00595703]
 [ 0.13154297  0.03916016]
 [ 0.13544922 -0.15810547]
 [ 0.07099609 -0.10732422]
 [ 0.19013672 -0.03701172]
 [ 0.12958984  0.00595703]]"
