,xy,yz,xz
0,"[[-1.30208333e-03 -7.16145833e-03]
 [ 5.92447917e-02  3.58072917e-02]
 [ 6.51041667e-04  3.77604167e-02]
 [-2.56489415e-01  7.43762601e-01]
 [-1.95942540e-01  7.86731351e-01]
 [-1.92036290e-01  8.33606351e-01]
 [-2.46723790e-01  8.84387601e-01]
 [-1.33442540e-01  8.17981351e-01]
 [-6.70362903e-02  8.64856351e-01]
 [-1.39301915e-01  7.80871976e-01]
 [-1.33442540e-01  8.25793851e-01]
 [-2.56489415e-01  7.43762601e-01]
 [-2.52583165e-01  7.88684476e-01]
 [-1.95942540e-01  7.71106351e-01]
 [-3.09223790e-01  8.39465726e-01]
 [ 6.79057460e-01 -1.03358115e+00]
 [ 6.39994960e-01 -1.03358115e+00]
 [ 6.79057460e-01 -1.03358115e+00]
 [ 6.79057460e-01 -1.03358115e+00]
 [ 6.63432460e-01 -1.03358115e+00]]","[[-0.00716146  0.08658854]
 [ 0.03580729  0.01822917]
 [ 0.03776042  0.11002604]
 [ 0.7437626  -0.6468624 ]
 [ 0.78673135 -0.62928427]
 [ 0.83360635 -0.63319052]
 [ 0.8843876  -0.62928427]
 [ 0.81798135 -0.79725302]
 [ 0.86485635 -0.6312374 ]
 [ 0.78087198 -0.62928427]
 [ 0.82579385 -0.68787802]
 [ 0.7437626  -0.6077999 ]
 [ 0.78868448 -0.53162802]
 [ 0.77110635 -0.84608115]
 [ 0.83946573 -0.52576865]
 [-1.03358115  1.21446573]
 [-1.03358115  1.24766885]
 [-1.03358115  1.22227823]
 [-1.03358115  1.32384073]
 [-1.03358115  1.40196573]]","[[-1.30208333e-03  8.65885417e-02]
 [ 5.92447917e-02  1.82291667e-02]
 [ 6.51041667e-04  1.10026042e-01]
 [-2.56489415e-01 -6.46862399e-01]
 [-1.95942540e-01 -6.29284274e-01]
 [-1.92036290e-01 -6.33190524e-01]
 [-2.46723790e-01 -6.29284274e-01]
 [-1.33442540e-01 -7.97253024e-01]
 [-6.70362903e-02 -6.31237399e-01]
 [-1.39301915e-01 -6.29284274e-01]
 [-1.33442540e-01 -6.87878024e-01]
 [-2.56489415e-01 -6.07799899e-01]
 [-2.52583165e-01 -5.31628024e-01]
 [-1.95942540e-01 -8.46081149e-01]
 [-3.09223790e-01 -5.25768649e-01]
 [ 6.79057460e-01  1.21446573e+00]
 [ 6.39994960e-01  1.24766885e+00]
 [ 6.79057460e-01  1.22227823e+00]
 [ 6.79057460e-01  1.32384073e+00]
 [ 6.63432460e-01  1.40196573e+00]]"
1,"[[-0.36781754 -0.5843624 ]
 [-0.30531754 -0.6156124 ]
 [-0.36781754 -0.50233115]
 [ 0.1983817   0.15708705]
 [ 0.08705357  0.20982143]
 [ 0.20424107  0.20200893]
 [ 0.25502232  0.14732143]
 [ 0.20424107  0.20200893]
 [ 0.0265067   0.16685268]
 [-0.03013393  0.12388393]
 [ 0.0265067   0.1688058 ]
 [ 0.08705357  0.21372768]
 [ 0.09095982  0.25669643]
 [ 0.13783482  0.10825893]
 [-0.03013393  0.07700893]]","[[-0.5843624   1.30040323]
 [-0.6156124   1.35509073]
 [-0.50233115  1.3297001 ]
 [ 0.15708705  0.27427455]
 [ 0.20982143  0.39146205]
 [ 0.20200893  0.19419643]
 [ 0.14732143  0.3172433 ]
 [ 0.20200893  0.3016183 ]
 [ 0.16685268  0.38169643]
 [ 0.12388393  0.25279018]
 [ 0.1688058   0.3016183 ]
 [ 0.21372768  0.2781808 ]
 [ 0.25669643  0.38364955]
 [ 0.10825893  0.4422433 ]
 [ 0.07700893  0.21372768]]","[[-0.36781754  1.30040323]
 [-0.30531754  1.35509073]
 [-0.36781754  1.3297001 ]
 [ 0.1983817   0.27427455]
 [ 0.08705357  0.39146205]
 [ 0.20424107  0.19419643]
 [ 0.25502232  0.3172433 ]
 [ 0.20424107  0.3016183 ]
 [ 0.0265067   0.38169643]
 [-0.03013393  0.25279018]
 [ 0.0265067   0.3016183 ]
 [ 0.08705357  0.2781808 ]
 [ 0.09095982  0.38364955]
 [ 0.13783482  0.4422433 ]
 [-0.03013393  0.21372768]]"
2,"[[-0.02368164  0.39078776]
 [ 0.03686523  0.43180339]
 [-0.02758789  0.34391276]
 [ 0.10131836  0.47281901]
 [-0.13891602  0.23258464]
 [-0.13891602  0.28336589]
 [-0.25024414  0.24039714]
 [-0.31079102  0.28531901]]","[[ 0.39078776 -0.11572266]
 [ 0.43180339 -0.06494141]
 [ 0.34391276 -0.22705078]
 [ 0.47281901 -0.07861328]
 [ 0.23258464 -0.78564453]
 [ 0.28336589 -0.78369141]
 [ 0.24039714 -0.75048828]
 [ 0.28531901 -0.75439453]]","[[-0.02368164 -0.11572266]
 [ 0.03686523 -0.06494141]
 [-0.02758789 -0.22705078]
 [ 0.10131836 -0.07861328]
 [-0.13891602 -0.78564453]
 [-0.13891602 -0.78369141]
 [-0.25024414 -0.75048828]
 [-0.31079102 -0.75439453]]"
3,"[[-0.04303279  0.53595671]
 [ 0.01751409  0.58087859]
 [ 0.08001409  0.61798796]
 [ 0.08782659  0.66486296]
 [-0.20514216  0.54181609]
 [-0.09381404  0.58869109]
 [-0.08990779  0.63361296]
 [-0.05084529  0.43634734]
 [-0.15045466  0.53595671]
 [-0.14850154  0.58478484]
 [-0.14850154  0.63556609]
 [-0.10748591  0.34650359]
 [-0.10553279  0.39337859]
 [-0.10162654  0.44611296]
 [-0.04693904  0.49298796]
 [-0.15631404  0.35040984]
 [-0.15436091  0.40119109]
 [-0.10162654  0.45001921]
 [-0.15240779  0.49689421]
 [-0.20514216  0.68439421]
 [ 0.93548284 -1.18669954]
 [ 0.84173284 -1.18669954]
 [ 0.86517034 -1.18669954]]","[[ 0.53595671 -0.20876025]
 [ 0.58087859 -0.06813525]
 [ 0.61798796 -0.032979  ]
 [ 0.66486296 -0.09938525]
 [ 0.54181609 -0.23415087]
 [ 0.58869109 -0.17946337]
 [ 0.63361296 -0.22438525]
 [ 0.43634734 -0.282979  ]
 [ 0.53595671 -0.28883837]
 [ 0.58478484 -0.27907275]
 [ 0.63556609 -0.24196337]
 [ 0.34650359 -0.27711962]
 [ 0.39337859 -0.27907275]
 [ 0.44611296 -0.2126665 ]
 [ 0.49298796 -0.10915087]
 [ 0.35040984 -0.27321337]
 [ 0.40119109 -0.220479  ]
 [ 0.45001921 -0.173604  ]
 [ 0.49689421 -0.204854  ]
 [ 0.68439421 -0.21657275]
 [-1.18669954 -1.923604  ]
 [-1.18669954 -1.9626665 ]
 [-1.18669954 -1.99586962]]","[[-0.04303279 -0.20876025]
 [ 0.01751409 -0.06813525]
 [ 0.08001409 -0.032979  ]
 [ 0.08782659 -0.09938525]
 [-0.20514216 -0.23415087]
 [-0.09381404 -0.17946337]
 [-0.08990779 -0.22438525]
 [-0.05084529 -0.282979  ]
 [-0.15045466 -0.28883837]
 [-0.14850154 -0.27907275]
 [-0.14850154 -0.24196337]
 [-0.10748591 -0.27711962]
 [-0.10553279 -0.27907275]
 [-0.10162654 -0.2126665 ]
 [-0.04693904 -0.10915087]
 [-0.15631404 -0.27321337]
 [-0.15436091 -0.220479  ]
 [-0.10162654 -0.173604  ]
 [-0.15240779 -0.204854  ]
 [-0.20514216 -0.21657275]
 [ 0.93548284 -1.923604  ]
 [ 0.84173284 -1.9626665 ]
 [ 0.86517034 -1.99586962]]"
4,"[[-0.15436091  0.45197234]
 [-0.15436091  0.40509734]
 [-0.20514216  0.54767546]
 [ 0.12884221  0.56134734]
 [ 0.08001409  0.61408171]
 [ 0.08782659  0.65705046]
 [ 0.07415471  0.57306609]
 [ 0.08001409  0.61994109]
 [ 0.08782659  0.66486296]
 [ 0.86517034 -1.18669954]
 [ 0.93548284 -1.18669954]
 [ 0.90227971 -1.18669954]
 [ 0.86517034 -1.18669954]
 [ 0.90227971 -1.18669954]]","[[ 0.45197234 -0.142354  ]
 [ 0.40509734 -0.16383837]
 [ 0.54767546 -0.09938525]
 [ 0.56134734 -0.1657915 ]
 [ 0.61408171 -0.23024462]
 [ 0.65705046 -0.267354  ]
 [ 0.57306609 -0.11305712]
 [ 0.61994109 -0.12477587]
 [ 0.66486296 -0.17555712]
 [-1.18669954  1.74436475]
 [-1.18669954  1.82248975]
 [-1.18669954  1.80686475]
 [-1.18669954  1.86155225]
 [-1.18669954  1.67600538]]","[[-0.15436091 -0.142354  ]
 [-0.15436091 -0.16383837]
 [-0.20514216 -0.09938525]
 [ 0.12884221 -0.1657915 ]
 [ 0.08001409 -0.23024462]
 [ 0.08782659 -0.267354  ]
 [ 0.07415471 -0.11305712]
 [ 0.08001409 -0.12477587]
 [ 0.08782659 -0.17555712]
 [ 0.86517034  1.74436475]
 [ 0.93548284  1.82248975]
 [ 0.90227971  1.80686475]
 [ 0.86517034  1.86155225]
 [ 0.90227971  1.67600538]]"
5,"[[ 0.79681096 -1.18669954]
 [ 0.76036241 -1.20496962]
 [ 0.84434679 -1.20496962]
 [ 0.81309679 -1.20496962]
 [ 0.81700304 -1.20496962]
 [-0.24159071  0.62315538]
 [-0.24159071  0.52940538]
 [-0.18495009  0.57432726]
 [-0.18495009  0.61924913]
 [-0.24159071  0.57628038]
 [-0.24159071  0.61924913]
 [-0.13807509  0.42588976]
 [-0.13612196  0.47471788]
 [-0.08729384  0.42393663]
 [-0.08338759  0.47471788]
 [-0.19080946  0.38096788]]","[[-1.18669954  1.35178663]
 [-1.20496962  1.34380425]
 [-1.20496962  1.38091363]
 [-1.20496962  1.38872613]
 [-1.20496962  1.39263238]
 [ 0.62315538 -0.34174262]
 [ 0.52940538 -0.4022895 ]
 [ 0.57432726 -0.44330512]
 [ 0.61924913 -0.4647895 ]
 [ 0.57628038 -0.39057075]
 [ 0.61924913 -0.47064887]
 [ 0.42588976 -0.4960395 ]
 [ 0.47471788 -0.49018012]
 [ 0.42393663 -0.4804145 ]
 [ 0.47471788 -0.40424262]
 [ 0.38096788 -0.50775825]]","[[ 0.79681096  1.35178663]
 [ 0.76036241  1.34380425]
 [ 0.84434679  1.38091363]
 [ 0.81309679  1.38872613]
 [ 0.81700304  1.39263238]
 [-0.24159071 -0.34174262]
 [-0.24159071 -0.4022895 ]
 [-0.18495009 -0.44330512]
 [-0.18495009 -0.4647895 ]
 [-0.24159071 -0.39057075]
 [-0.24159071 -0.47064887]
 [-0.13807509 -0.4960395 ]
 [-0.13612196 -0.49018012]
 [-0.08729384 -0.4804145 ]
 [-0.08338759 -0.40424262]
 [-0.19080946 -0.50775825]]"
6,"[[-0.24159071  0.43565538]
 [-0.24159071  0.52745226]
 [-0.18495009  0.57042101]
 [-0.18495009  0.61729601]
 [-0.12440321  0.66612413]
 [-0.24159071  0.62315538]
 [-0.24159071  0.52940538]
 [-0.18495009  0.57432726]
 [-0.18495009  0.61924913]
 [-0.24159071  0.57628038]
 [-0.24159071  0.61924913]
 [-0.13807509  0.42588976]
 [-0.13612196  0.47471788]
 [-0.24159071  0.42393663]
 [-0.24159071  0.54112413]
 [-0.24159071  0.58799913]
 [-0.24159071  0.55870226]]","[[ 0.43565538 -0.41400825]
 [ 0.52745226 -0.42377387]
 [ 0.57042101 -0.48236762]
 [ 0.61729601 -0.49994575]
 [ 0.66612413 -0.425727  ]
 [ 0.62315538 -0.34174262]
 [ 0.52940538 -0.4022895 ]
 [ 0.57432726 -0.44330512]
 [ 0.61924913 -0.4647895 ]
 [ 0.57628038 -0.39057075]
 [ 0.61924913 -0.47064887]
 [ 0.42588976 -0.4960395 ]
 [ 0.47471788 -0.49018012]
 [ 0.42393663 -0.550727  ]
 [ 0.54112413 -0.706977  ]
 [ 0.58799913 -0.71674262]
 [ 0.55870226 -0.60932075]]","[[-0.24159071 -0.41400825]
 [-0.24159071 -0.42377387]
 [-0.18495009 -0.48236762]
 [-0.18495009 -0.49994575]
 [-0.12440321 -0.425727  ]
 [-0.24159071 -0.34174262]
 [-0.24159071 -0.4022895 ]
 [-0.18495009 -0.44330512]
 [-0.18495009 -0.4647895 ]
 [-0.24159071 -0.39057075]
 [-0.24159071 -0.47064887]
 [-0.13807509 -0.4960395 ]
 [-0.13612196 -0.49018012]
 [-0.24159071 -0.550727  ]
 [-0.24159071 -0.706977  ]
 [-0.24159071 -0.71674262]
 [-0.24159071 -0.60932075]]"
7,"[[-0.08729384  0.42393663]
 [-0.19080946  0.38096788]
 [-0.24159071  0.43565538]
 [-0.24159071  0.52745226]
 [-0.18495009  0.57042101]
 [-0.18495009  0.61729601]
 [-0.08338759  0.47471788]
 [-0.24159071  0.42393663]
 [-0.12440321  0.66612413]
 [ 0.76036241 -1.20496962]
 [ 0.84434679 -1.20496962]
 [ 0.81309679 -1.20496962]
 [ 0.81700304 -1.20496962]
 [ 0.81700304 -1.20496962]]","[[ 0.42393663 -0.4804145 ]
 [ 0.38096788 -0.50775825]
 [ 0.43565538 -0.41400825]
 [ 0.52745226 -0.42377387]
 [ 0.57042101 -0.48236762]
 [ 0.61729601 -0.49994575]
 [ 0.47471788 -0.40424262]
 [ 0.42393663 -0.550727  ]
 [ 0.66612413 -0.425727  ]
 [-1.20496962  1.34380425]
 [-1.20496962  1.38091363]
 [-1.20496962  1.38872613]
 [-1.20496962  1.39263238]
 [-1.20496962  1.37505425]]","[[-0.08729384 -0.4804145 ]
 [-0.19080946 -0.50775825]
 [-0.24159071 -0.41400825]
 [-0.24159071 -0.42377387]
 [-0.18495009 -0.48236762]
 [-0.18495009 -0.49994575]
 [-0.08338759 -0.40424262]
 [-0.24159071 -0.550727  ]
 [-0.12440321 -0.425727  ]
 [ 0.76036241  1.34380425]
 [ 0.84434679  1.38091363]
 [ 0.81309679  1.38872613]
 [ 0.81700304  1.39263238]
 [ 0.81700304  1.37505425]]"
8,"[[-0.12617187  0.51870117]
 [-0.065625    0.56166992]
 [-0.003125    0.60073242]
 [-0.2375      0.45229492]
 [-0.2375      0.49916992]
 [-0.2375      0.51870117]
 [-0.18671875  0.35854492]
 [-0.18476562  0.42104492]
 [-0.2375      0.45424805]
 [-0.2375      0.37416992]
 [-0.2375      0.42885742]
 [-0.2375      0.47573242]
 [-0.01484375  0.50893555]
 [-0.00898437  0.55385742]
 [-0.06171875  0.60854492]
 [-0.18085937  0.5675293 ]
 [-0.17890625  0.61245117]
 [-0.17695312  0.66323242]
 [ 0.76445312 -1.25668945]
 [ 0.8484375  -1.25668945]
 [ 0.8171875  -1.25668945]]","[[ 0.51870117 -0.1996582 ]
 [ 0.56166992 -0.16254883]
 [ 0.60073242 -0.18598633]
 [ 0.45229492 -0.3871582 ]
 [ 0.49916992 -0.38325195]
 [ 0.51870117 -0.22700195]
 [ 0.35854492 -0.37543945]
 [ 0.42104492 -0.2621582 ]
 [ 0.45424805 -0.3715332 ]
 [ 0.37416992 -0.27192383]
 [ 0.42885742 -0.17231445]
 [ 0.47573242 -0.18208008]
 [ 0.50893555 -0.18208008]
 [ 0.55385742 -0.1996582 ]
 [ 0.60854492 -0.14887695]
 [ 0.5675293   0.0269043 ]
 [ 0.61245117  0.0425293 ]
 [ 0.66323242 -0.0434082 ]
 [-1.25668945 -1.8168457 ]
 [-1.25668945 -1.87543945]
 [-1.25668945 -1.86176758]]","[[-0.12617187 -0.1996582 ]
 [-0.065625   -0.16254883]
 [-0.003125   -0.18598633]
 [-0.2375     -0.3871582 ]
 [-0.2375     -0.38325195]
 [-0.2375     -0.22700195]
 [-0.18671875 -0.37543945]
 [-0.18476562 -0.2621582 ]
 [-0.2375     -0.3715332 ]
 [-0.2375     -0.27192383]
 [-0.2375     -0.17231445]
 [-0.2375     -0.18208008]
 [-0.01484375 -0.18208008]
 [-0.00898437 -0.1996582 ]
 [-0.06171875 -0.14887695]
 [-0.18085937  0.0269043 ]
 [-0.17890625  0.0425293 ]
 [-0.17695312 -0.0434082 ]
 [ 0.76445312 -1.8168457 ]
 [ 0.8484375  -1.87543945]
 [ 0.8171875  -1.86176758]]"
9,"[[-0.01484375  0.51088867]
 [-0.00898437  0.55776367]
 [-0.06171875  0.61049805]
 [-0.07539062  0.46987305]
 [-0.03979492  0.1652832 ]
 [-0.09057617  0.21801758]
 [-0.08862305  0.26489258]
 [ 0.0090332   0.1184082 ]
 [ 0.01293945  0.1652832 ]
 [ 0.0168457   0.2121582 ]
 [-0.03393555  0.25708008]
 [ 0.0090332   0.10473633]
 [ 0.01293945  0.15942383]
 [-0.03588867  0.21606445]
 [-0.09448242  0.12036133]
 [-0.04174805  0.09301758]]","[[ 0.51088867 -0.10395508]
 [ 0.55776367 -0.1293457 ]
 [ 0.61049805 -0.08637695]
 [ 0.46987305 -0.03950195]
 [ 0.1652832   0.13354492]
 [ 0.21801758  0.2331543 ]
 [ 0.26489258  0.20776367]
 [ 0.1184082   0.33081055]
 [ 0.1652832   0.29370117]
 [ 0.2121582   0.28198242]
 [ 0.25708008  0.11010742]
 [ 0.10473633  0.47924805]
 [ 0.15942383  0.41870117]
 [ 0.21606445  0.34448242]
 [ 0.12036133  0.1315918 ]
 [ 0.09301758  0.5847168 ]]","[[-0.01484375 -0.10395508]
 [-0.00898437 -0.1293457 ]
 [-0.06171875 -0.08637695]
 [-0.07539062 -0.03950195]
 [-0.03979492  0.13354492]
 [-0.09057617  0.2331543 ]
 [-0.08862305  0.20776367]
 [ 0.0090332   0.33081055]
 [ 0.01293945  0.29370117]
 [ 0.0168457   0.28198242]
 [-0.03393555  0.11010742]
 [ 0.0090332   0.47924805]
 [ 0.01293945  0.41870117]
 [-0.03588867  0.34448242]
 [-0.09448242  0.1315918 ]
 [-0.04174805  0.5847168 ]]"
