,xy,yz,xz
0,"[[ 0.11474609  0.23291016]
 [ 0.17138672  0.27783203]
 [ 0.17138672  0.21923828]
 [ 0.11474609  0.23291016]
 [ 0.17138672  0.27783203]
 [ 0.17138672  0.21923828]
 [ 0.11474609  0.23291016]
 [ 0.17138672  0.27783203]
 [ 0.17138672  0.21923828]
 [-0.45751953 -0.72998047]
 [-0.45751953 -0.72998047]
 [-0.45751953 -0.72998047]
 [-0.21651786  0.21484375]
 [-0.21651786  0.25976562]
 [-0.21651786  0.21679688]
 [-0.21651786  0.26171875]
 [-0.21651786  0.26367188]]","[[ 0.23291016 -0.35742188]
 [ 0.27783203 -0.39453125]
 [ 0.21923828 -0.4921875 ]
 [ 0.23291016 -0.35742188]
 [ 0.27783203 -0.39453125]
 [ 0.21923828 -0.4921875 ]
 [ 0.23291016 -0.35742188]
 [ 0.27783203 -0.39453125]
 [ 0.21923828 -0.4921875 ]
 [-0.72998047  1.24414062]
 [-0.72998047  1.24414062]
 [-0.72998047  1.24414062]
 [ 0.21484375  0.11286272]
 [ 0.25976562  0.08161272]
 [ 0.21679688  0.12262835]
 [ 0.26171875  0.0952846 ]
 [ 0.26367188  0.12067522]]","[[ 0.11474609 -0.35742188]
 [ 0.17138672 -0.39453125]
 [ 0.17138672 -0.4921875 ]
 [ 0.11474609 -0.35742188]
 [ 0.17138672 -0.39453125]
 [ 0.17138672 -0.4921875 ]
 [ 0.11474609 -0.35742188]
 [ 0.17138672 -0.39453125]
 [ 0.17138672 -0.4921875 ]
 [-0.45751953  1.24414062]
 [-0.45751953  1.24414062]
 [-0.45751953  1.24414062]
 [-0.21651786  0.11286272]
 [-0.21651786  0.08161272]
 [-0.21651786  0.12262835]
 [-0.21651786  0.0952846 ]
 [-0.21651786  0.12067522]]"
1,"[[-0.23234675  0.49023438]
 [-0.23234675  0.53125   ]
 [-0.23234675  0.58007812]
 [-0.23234675  0.640625  ]
 [-0.34172175  0.4921875 ]
 [-0.28898738  0.58203125]
 [-0.23234675  0.6328125 ]
 [-0.34367488  0.52929688]
 [-0.23234675  0.59375   ]
 [-0.23234675  0.640625  ]
 [ 0.75202825 -1.23242188]
 [ 0.77546575 -1.23242188]
 [ 0.79890325 -1.23242188]
 [ 0.73445012 -1.23242188]
 [ 0.75202825 -1.23242188]
 [ 0.77546575 -1.23242188]
 [ 0.71296575 -1.23242188]]","[[ 0.49023438 -0.34953425]
 [ 0.53125    -0.39054988]
 [ 0.58007812 -0.376878  ]
 [ 0.640625   -0.2440655 ]
 [ 0.4921875  -0.29679988]
 [ 0.58203125 -0.35929988]
 [ 0.6328125  -0.32414363]
 [ 0.52929688 -0.37883113]
 [ 0.59375    -0.20890925]
 [ 0.640625   -0.24601863]
 [-1.23242188  1.76179387]
 [-1.23242188  1.72077825]
 [-1.23242188  1.67390325]
 [-1.23242188  1.83796575]
 [-1.23242188 -1.98234675]
 [-1.23242188 -2.07609675]
 [-1.23242188 -2.06633113]]","[[-0.23234675 -0.34953425]
 [-0.23234675 -0.39054988]
 [-0.23234675 -0.376878  ]
 [-0.23234675 -0.2440655 ]
 [-0.34172175 -0.29679988]
 [-0.28898738 -0.35929988]
 [-0.23234675 -0.32414363]
 [-0.34367488 -0.37883113]
 [-0.23234675 -0.20890925]
 [-0.23234675 -0.24601863]
 [ 0.75202825  1.76179387]
 [ 0.77546575  1.72077825]
 [ 0.79890325  1.67390325]
 [ 0.73445012  1.83796575]
 [ 0.75202825 -1.98234675]
 [ 0.77546575 -2.07609675]
 [ 0.71296575 -2.06633113]]"
2,"[[-0.01424632 -0.01252298]
 [-0.01424632  0.02653952]
 [-0.01424632  0.06560202]
 [-0.01424632  0.03044577]
 [-0.01424632  0.0792739 ]
 [-0.01424632  0.03435202]
 [ 0.14786305 -0.1160386 ]
 [ 0.10098805 -0.02033548]
 [ 0.07890625 -0.05742187]
 [-0.03242188 -0.00273437]
 [ 0.26505055 -0.08088235]]","[[-0.01252298  0.21277574]
 [ 0.02653952  0.11707261]
 [ 0.06560202  0.06629136]
 [ 0.03044577  0.17566636]
 [ 0.0792739   0.19910386]
 [ 0.03435202  0.24597886]
 [-0.1160386   0.21082261]
 [-0.02033548  0.16394761]
 [-0.05742187  0.26289062]
 [-0.00273437  0.21015625]
 [-0.08088235  0.22644761]]","[[-0.01424632  0.21277574]
 [-0.01424632  0.11707261]
 [-0.01424632  0.06629136]
 [-0.01424632  0.17566636]
 [-0.01424632  0.19910386]
 [-0.01424632  0.24597886]
 [ 0.14786305  0.21082261]
 [ 0.10098805  0.16394761]
 [ 0.07890625  0.26289062]
 [-0.03242188  0.21015625]
 [ 0.26505055  0.22644761]]"
3,"[[-0.21431108  0.1048473 ]
 [-0.16352983  0.15562855]
 [-0.10884233  0.20445668]
 [-0.0522017   0.2532848 ]
 [-0.0522017   0.2454723 ]
 [-0.0522017   0.29430043]
 [-0.1068892   0.10875355]
 [-0.16352983  0.14781605]
 [-0.10884233  0.19664418]
 [-0.1615767   0.10875355]
 [-0.16352983  0.15562855]
 [-0.16743608  0.20055043]
 [ 0.0649858   0.24156605]]","[[ 0.1048473   0.19877486]
 [ 0.15562855  0.20268111]
 [ 0.20445668  0.19486861]
 [ 0.2532848   0.10893111]
 [ 0.2454723  -0.02192827]
 [ 0.29430043  0.00346236]
 [ 0.10875355  0.06010298]
 [ 0.14781605 -0.01802202]
 [ 0.19664418 -0.03169389]
 [ 0.10875355  0.17729048]
 [ 0.15562855  0.09916548]
 [ 0.20055043  0.05619673]
 [ 0.24156605 -0.02388139]]","[[-0.21431108  0.19877486]
 [-0.16352983  0.20268111]
 [-0.10884233  0.19486861]
 [-0.0522017   0.10893111]
 [-0.0522017  -0.02192827]
 [-0.0522017   0.00346236]
 [-0.1068892   0.06010298]
 [-0.16352983 -0.01802202]
 [-0.10884233 -0.03169389]
 [-0.1615767   0.17729048]
 [-0.16352983  0.09916548]
 [-0.16743608  0.05619673]
 [ 0.0649858  -0.02388139]]"
4,"[[-0.5952691   0.55354818]
 [-0.54253472  0.60042318]
 [-0.48394097  0.55940755]
 [ 0.58051215 -1.2179362 ]
 [ 0.55707465 -1.2179362 ]
 [ 0.58051215 -1.2179362 ]
 [ 0.55707465 -1.2179362 ]
 [-0.42730035  0.5633138 ]
 [-0.42730035  0.6101888 ]
 [-0.53667535  0.51057943]
 [-0.53862847  0.55354818]
 [-0.54253472  0.60042318]
 [-0.42730035  0.5164388 ]
 [-0.53862847  0.55940755]
 [-0.54253472  0.60432943]
 [-0.42730035  0.65511068]]","[[ 0.55354818  0.11946615]
 [ 0.60042318  0.1936849 ]
 [ 0.55940755  0.16438802]
 [-1.2179362  -1.7594401 ]
 [-1.2179362  -1.8063151 ]
 [-1.2179362  -1.87076823]
 [-1.2179362  -1.67740885]
 [ 0.5633138   0.00423177]
 [ 0.6101888   0.00227865]
 [ 0.51057943 -0.05826823]
 [ 0.55354818 -0.0953776 ]
 [ 0.60042318 -0.10123698]
 [ 0.5164388   0.04134115]
 [ 0.55940755 -0.01139323]
 [ 0.60432943 -0.02897135]
 [ 0.65511068 -0.0485026 ]]","[[-0.5952691   0.11946615]
 [-0.54253472  0.1936849 ]
 [-0.48394097  0.16438802]
 [ 0.58051215 -1.7594401 ]
 [ 0.55707465 -1.8063151 ]
 [ 0.58051215 -1.87076823]
 [ 0.55707465 -1.67740885]
 [-0.42730035  0.00423177]
 [-0.42730035  0.00227865]
 [-0.53667535 -0.05826823]
 [-0.53862847 -0.0953776 ]
 [-0.54253472 -0.10123698]
 [-0.42730035  0.04134115]
 [-0.53862847 -0.01139323]
 [-0.54253472 -0.02897135]
 [-0.42730035 -0.0485026 ]]"
5,"[[ 1.27387153 -0.13590495]
 [ 1.23480903 -0.1632487 ]
 [ 1.27387153 -0.13785807]
 [-0.47385817  0.45427684]
 [-0.4758113   0.50505809]
 [-0.4211238   0.55388622]
 [-0.42307692  0.60857372]]","[[-0.13590495  0.08040365]
 [-0.1632487  -0.00748698]
 [-0.13785807 -0.0172526 ]
 [ 0.45427684  0.25005008]
 [ 0.50505809  0.20903446]
 [ 0.55388622  0.22465946]
 [ 0.60857372  0.12505008]]","[[ 1.27387153  0.08040365]
 [ 1.23480903 -0.00748698]
 [ 1.27387153 -0.0172526 ]
 [-0.47385817  0.25005008]
 [-0.4758113   0.20903446]
 [-0.4211238   0.22465946]
 [-0.42307692  0.12505008]]"
6,"[[-0.36448317  0.46794872]
 [-0.5226863   0.41326122]
 [-0.47385817  0.46599559]
 [-0.4758113   0.51091747]
 [-0.4211238   0.56169872]
 [-0.52659255  0.46208934]
 [-0.4758113   0.51287059]
 [-0.47971755  0.55974559]
 [ 0.64332933 -1.26447316]
 [ 0.61989183 -1.26447316]
 [ 0.70724051 -1.17780413]
 [ 1.2976262  -0.21173878]
 [ 1.3366887  -0.18244191]
 [ 1.2976262  -0.21564503]
 [ 1.3366887  -0.18244191]
 [ 1.3366887  -0.19416066]]","[[ 0.46794872 -0.05659054]
 [ 0.41326122 -0.05073117]
 [ 0.46599559 -0.01752804]
 [ 0.51091747 -0.03510617]
 [ 0.56169872 -0.03705929]
 [ 0.46208934  0.04692508]
 [ 0.51287059  0.07622196]
 [ 0.55974559  0.06645633]
 [-1.26447316 -1.86713742]
 [-1.26447316 -1.77534054]
 [-1.17780413 -1.82714844]
 [-0.21173878  0.13090946]
 [-0.18244191  0.05669071]
 [-0.21564503 -0.08784054]
 [-0.18244191  0.02544071]
 [-0.19416066 -0.10932492]]","[[-0.36448317 -0.05659054]
 [-0.5226863  -0.05073117]
 [-0.47385817 -0.01752804]
 [-0.4758113  -0.03510617]
 [-0.4211238  -0.03705929]
 [-0.52659255  0.04692508]
 [-0.4758113   0.07622196]
 [-0.47971755  0.06645633]
 [ 0.64332933 -1.86713742]
 [ 0.61989183 -1.77534054]
 [ 0.70724051 -1.82714844]
 [ 1.2976262   0.13090946]
 [ 1.3366887   0.05669071]
 [ 1.2976262  -0.08784054]
 [ 1.3366887   0.02544071]
 [ 1.3366887  -0.10932492]]"
7,"[[-0.05838449  0.44719587]
 [-0.05447824  0.5038365 ]
 [ 0.00606864  0.542899  ]
 [-0.38455636  0.57805525]
 [-0.38846261  0.62297712]
 [-0.32791574  0.589774  ]
 [-0.44510324  0.59953962]
 [ 0.70724051 -1.17780413]
 [ 0.66622489 -1.17780413]
 [ 0.72872489 -1.17780413]]","[[ 0.44719587  0.41113281]
 [ 0.5038365   0.37792969]
 [ 0.542899    0.38964844]
 [ 0.57805525 -0.27246094]
 [ 0.62297712 -0.27636719]
 [ 0.589774   -0.20605469]
 [ 0.59953962 -0.37597656]
 [-1.17780413  1.91503906]
 [-1.17780413  1.80371094]
 [-1.17780413  1.96582031]]","[[-0.05838449  0.41113281]
 [-0.05447824  0.37792969]
 [ 0.00606864  0.38964844]
 [-0.38455636 -0.27246094]
 [-0.38846261 -0.27636719]
 [-0.32791574 -0.20605469]
 [-0.44510324 -0.37597656]
 [ 0.70724051  1.91503906]
 [ 0.66622489  1.80371094]
 [ 0.72872489  1.96582031]]"
8,"[[-0.66699219  0.77124023]
 [-0.67089844  0.71850586]
 [-0.61425781  0.76342773]
 [-0.60839844  0.80834961]
 [-0.66113281  0.86499023]
 [ 0.20800781 -0.95922852]
 [ 0.16894531 -0.95922852]
 [ 0.06542969 -0.95922852]
 [ 0.14746094 -0.95922852]
 [ 0.16894531 -0.95922852]]","[[ 0.77124023 -0.21923828]
 [ 0.71850586 -0.11376953]
 [ 0.76342773 -0.15283203]
 [ 0.80834961 -0.13330078]
 [ 0.86499023 -0.21728516]
 [-0.95922852  1.56787109]
 [-0.95922852  1.61865234]
 [-0.95922852  1.59326172]
 [-0.95922852  1.63623047]
 [-0.95922852  1.67529297]]","[[-0.66699219 -0.21923828]
 [-0.67089844 -0.11376953]
 [-0.61425781 -0.15283203]
 [-0.60839844 -0.13330078]
 [-0.66113281 -0.21728516]
 [ 0.20800781  1.56787109]
 [ 0.16894531  1.61865234]
 [ 0.06542969  1.59326172]
 [ 0.14746094  1.63623047]
 [ 0.16894531  1.67529297]]"
9,"[[-0.84621264  0.40191916]
 [-0.85402514  0.44684103]
 [-0.91066576  0.48199728]
 [-0.89113451  0.39020041]
 [-0.90090014  0.43512228]
 [-0.90090014  0.42926291]
 [ 0.35105299 -1.02581522]
 [ 0.28855299 -1.02581522]
 [ 0.37253736 -1.02581522]
 [ 0.37253736 -1.02581522]]","[[ 0.40191916  0.10079823]
 [ 0.44684103  0.11056386]
 [ 0.48199728  0.02853261]
 [ 0.39020041  0.18282948]
 [ 0.43512228  0.18478261]
 [ 0.42926291 -0.06326427]
 [-1.02581522 -1.79373302]
 [-1.02581522 -1.74881114]
 [-1.02581522 -1.72732677]
 [-1.02581522 -1.90115489]]","[[-0.84621264  0.10079823]
 [-0.85402514  0.11056386]
 [-0.91066576  0.02853261]
 [-0.89113451  0.18282948]
 [-0.90090014  0.18478261]
 [-0.90090014 -0.06326427]
 [ 0.35105299 -1.79373302]
 [ 0.28855299 -1.74881114]
 [ 0.37253736 -1.72732677]
 [ 0.37253736 -1.90115489]]"
