,xy,yz,xz
0,"[[ 0.          0.        ]
 [ 0.06591797 -0.02978516]
 [-0.03955078  0.08935547]
 [ 0.01318359  0.02685547]
 [ 0.06591797 -0.02978516]
 [-0.03955078  0.08935547]
 [ 0.01318359  0.02685547]
 [ 0.06380208 -0.16427951]
 [ 0.01302083  0.01736111]
 [ 0.01106771 -0.03146701]
 [ 0.01302083  0.04079861]
 [ 0.04192708 -0.09335937]
 [ 0.03997396 -0.19101562]
 [ 0.09466146 -0.12851562]
 [-0.00690104  0.053125  ]
 [ 0.03997396 -0.10703125]
 [ 0.04192708 -0.05820312]
 [ 0.04583333  0.00429688]
 [ 0.04956055 -0.16674805]
 [ 0.10424805 -0.12182617]
 [ 0.04956055 -0.17456055]
 [-0.05395508  0.0715332 ]
 [ 0.10424805 -0.06323242]
 [ 0.1081543   0.0168457 ]
 [-0.03955078 -0.08642578]
 [-0.03955078 -0.08642578]
 [-0.04166667 -0.22873264]
 [ 0.00911458 -0.13498264]
 [ 0.09856771 -0.06796875]
 [ 0.04192708 -0.165625  ]
 [-0.06354167  0.11171875]
 [-0.06354167  0.15859375]
 [ 0.04956055 -0.11206055]
 [ 0.05151367 -0.07299805]
 [ 0.1628418  -0.00268555]
 [-0.00317383 -0.19995117]
 [ 0.05541992 -0.02807617]
 [-0.05395508  0.0793457 ]
 [ 0.05151367 -0.1394043 ]
 [ 0.1081543  -0.0534668 ]
 [ 0.04956055 -0.1159668 ]
 [ 0.00268555  0.0793457 ]
 [-0.06354167  0.14296875]
 [-0.04166667  0.15212674]
 [-0.06354167  0.08828125]
 [-0.12018229  0.1       ]
 [-0.06354167  0.15273438]
 [-0.05395508  0.06176758]
 [-0.1105957   0.1027832 ]
 [-0.05395508  0.1418457 ]
 [-0.1105957   0.12231445]
 [-0.11254883  0.16333008]]","[[ 0.          0.        ]
 [-0.02978516  0.09521484]
 [ 0.08935547 -0.13525391]
 [ 0.02685547 -0.07861328]
 [-0.02978516  0.09521484]
 [ 0.08935547 -0.13525391]
 [ 0.02685547 -0.07861328]
 [-0.16427951  0.39019097]
 [ 0.01736111  0.01909722]
 [-0.03146701  0.02300347]
 [ 0.04079861 -0.10980903]
 [-0.09335937  0.25716146]
 [-0.19101562  0.40559896]
 [-0.12851562  0.35677083]
 [ 0.053125   -0.00065104]
 [-0.10703125  0.11263021]
 [-0.05820312  0.10872396]
 [ 0.00429688 -0.00065104]
 [-0.16674805  0.38533529]
 [-0.12182617  0.38338216]
 [-0.17456055  0.40291341]
 [ 0.0715332  -0.01310221]
 [-0.06323242  0.19002279]
 [ 0.0168457  -0.00333659]
 [-0.08642578  0.11865234]
 [-0.08642578  0.11865234]
 [-0.22873264  0.41948785]
 [-0.13498264  0.20659722]
 [-0.06796875  0.32356771]
 [-0.165625    0.46419271]
 [ 0.11171875 -0.17252604]
 [ 0.15859375 -0.19205729]
 [-0.11206055  0.20369466]
 [-0.07299805  0.24275716]
 [-0.00268555  0.09431966]
 [-0.19995117  0.34236654]
 [-0.02807617  0.25447591]
 [ 0.0793457  -0.11661784]
 [-0.1394043   0.44002279]
 [-0.0534668   0.32869466]
 [-0.1159668   0.22127279]
 [ 0.0793457  -0.24357096]
 [ 0.14296875 -0.43815104]
 [ 0.15212674 -0.35394965]
 [ 0.08828125 -0.48893229]
 [ 0.1        -0.40104167]
 [ 0.15273438 -0.33463542]
 [ 0.06176758 -0.45646159]
 [ 0.1027832  -0.49747721]
 [ 0.1418457  -0.54435221]
 [ 0.12231445 -0.32755534]
 [ 0.16333008 -0.40372721]]","[[ 0.          0.        ]
 [ 0.06591797  0.09521484]
 [-0.03955078 -0.13525391]
 [ 0.01318359 -0.07861328]
 [ 0.06591797  0.09521484]
 [-0.03955078 -0.13525391]
 [ 0.01318359 -0.07861328]
 [ 0.06380208  0.39019097]
 [ 0.01302083  0.01909722]
 [ 0.01106771  0.02300347]
 [ 0.01302083 -0.10980903]
 [ 0.04192708  0.25716146]
 [ 0.03997396  0.40559896]
 [ 0.09466146  0.35677083]
 [-0.00690104 -0.00065104]
 [ 0.03997396  0.11263021]
 [ 0.04192708  0.10872396]
 [ 0.04583333 -0.00065104]
 [ 0.04956055  0.38533529]
 [ 0.10424805  0.38338216]
 [ 0.04956055  0.40291341]
 [-0.05395508 -0.01310221]
 [ 0.10424805  0.19002279]
 [ 0.1081543  -0.00333659]
 [-0.03955078  0.11865234]
 [-0.03955078  0.11865234]
 [-0.04166667  0.41948785]
 [ 0.00911458  0.20659722]
 [ 0.09856771  0.32356771]
 [ 0.04192708  0.46419271]
 [-0.06354167 -0.17252604]
 [-0.06354167 -0.19205729]
 [ 0.04956055  0.20369466]
 [ 0.05151367  0.24275716]
 [ 0.1628418   0.09431966]
 [-0.00317383  0.34236654]
 [ 0.05541992  0.25447591]
 [-0.05395508 -0.11661784]
 [ 0.05151367  0.44002279]
 [ 0.1081543   0.32869466]
 [ 0.04956055  0.22127279]
 [ 0.00268555 -0.24357096]
 [-0.06354167 -0.43815104]
 [-0.04166667 -0.35394965]
 [-0.06354167 -0.48893229]
 [-0.12018229 -0.40104167]
 [-0.06354167 -0.33463542]
 [-0.05395508 -0.45646159]
 [-0.1105957  -0.49747721]
 [-0.05395508 -0.54435221]
 [-0.1105957  -0.32755534]
 [-0.11254883 -0.40372721]]"
1,"[[-0.02944336  0.13388672]
 [ 0.02524414  0.15537109]
 [-0.02396334  0.01757812]
 [-0.02201022  0.06054688]
 [-0.07279147  0.13476562]
 [-0.02201022  0.05078125]
 [ 0.03463041  0.12109375]
 [ 0.04439603  0.16796875]
 [ 0.03463041  0.08789062]
 [-0.01615084  0.18164062]
 [-0.02553711  0.18466797]
 [ 0.02915039  0.22373047]
 [-0.02358398  0.20810547]
 [ 0.03305664  0.25498047]]","[[0.13388672 0.32402344]
 [0.15537109 0.42753906]
 [0.01757812 0.36771334]
 [0.06054688 0.39115084]
 [0.13476562 0.29154147]
 [0.05078125 0.42240084]
 [0.12109375 0.31888522]
 [0.16796875 0.50833834]
 [0.08789062 0.44974459]
 [0.18164062 0.27396334]
 [0.18466797 0.31230469]
 [0.22373047 0.33964844]
 [0.20810547 0.42167969]
 [0.25498047 0.40996094]]","[[-0.02944336  0.32402344]
 [ 0.02524414  0.42753906]
 [-0.02396334  0.36771334]
 [-0.02201022  0.39115084]
 [-0.07279147  0.29154147]
 [-0.02201022  0.42240084]
 [ 0.03463041  0.31888522]
 [ 0.04439603  0.50833834]
 [ 0.03463041  0.44974459]
 [-0.01615084  0.27396334]
 [-0.02553711  0.31230469]
 [ 0.02915039  0.33964844]
 [-0.02358398  0.42167969]
 [ 0.03305664  0.40996094]]"
2,"[[ 0.11499023  0.03800456]
 [ 0.06420898  0.01066081]
 [ 0.06616211  0.04777018]
 [ 0.06420898 -0.02058919]
 [ 0.11889648  0.09659831]
 [ 0.1213049   0.03415329]
 [ 0.07052365  0.09860642]
 [ 0.1213049  -0.01272171]
 [ 0.06616211  0.09073893]
 [ 0.07006836  0.12980143]
 [ 0.06030273 -0.04012044]
 [ 0.07006836  0.08292643]
 [ 0.06616211  0.02042643]
 [ 0.07006836  0.06339518]
 [ 0.11889648  0.11612956]
 [ 0.11499023  0.05558268]
 [ 0.17749023  0.14542643]
 [ 0.11935177 -0.00686233]
 [ 0.07247677  0.17282517]
 [ 0.11544552 -0.11037796]
 [ 0.11935177 -0.07131546]
 [ 0.17794552  0.04782517]
 [ 0.12716427  0.13962204]]","[[ 0.03800456  0.08658854]
 [ 0.01066081  0.19205729]
 [ 0.04777018  0.22526042]
 [-0.02058919  0.27604167]
 [ 0.09659831  0.03776042]
 [ 0.03415329  0.16068412]
 [ 0.09860642  0.10599662]
 [-0.01272171  0.299356  ]
 [ 0.09073893  0.08072917]
 [ 0.12980143  0.11979167]
 [-0.04012044  0.19205729]
 [ 0.08292643  0.27018229]
 [ 0.02042643  0.30143229]
 [ 0.06339518  0.31705729]
 [ 0.11612956 -0.06380208]
 [ 0.05558268  0.00651042]
 [ 0.14542643  0.00455729]
 [-0.00686233  0.13334037]
 [ 0.17282517 -0.02486275]
 [-0.11037796  0.2915435 ]
 [-0.07131546  0.31693412]
 [ 0.04782517  0.25638725]
 [ 0.13962204  0.12943412]]","[[ 0.11499023  0.08658854]
 [ 0.06420898  0.19205729]
 [ 0.06616211  0.22526042]
 [ 0.06420898  0.27604167]
 [ 0.11889648  0.03776042]
 [ 0.1213049   0.16068412]
 [ 0.07052365  0.10599662]
 [ 0.1213049   0.299356  ]
 [ 0.06616211  0.08072917]
 [ 0.07006836  0.11979167]
 [ 0.06030273  0.19205729]
 [ 0.07006836  0.27018229]
 [ 0.06616211  0.30143229]
 [ 0.07006836  0.31705729]
 [ 0.11889648 -0.06380208]
 [ 0.11499023  0.00651042]
 [ 0.17749023  0.00455729]
 [ 0.11935177  0.13334037]
 [ 0.07247677 -0.02486275]
 [ 0.11544552  0.2915435 ]
 [ 0.11935177  0.31693412]
 [ 0.17794552  0.25638725]
 [ 0.12716427  0.12943412]]"
3,"[[ 0.12105758  0.09288194]
 [ 0.07027633 -0.00672743]
 [ 0.17574508  0.15538194]
 [ 0.12105758  0.05577257]
 [ 0.17574508  0.11631944]
 [ 0.17965133  0.17491319]
 [ 0.02340133 -0.05555556]
 [ 0.07027633  0.02256944]
 [ 0.07027633  0.05577257]
 [ 0.02340133 -0.05360243]
 [ 0.07027633  0.04600694]
 [ 0.02340133 -0.08289931]
 [-0.02737992 -0.02821181]
 [ 0.07027633  0.04796007]
 [ 0.07027633  0.09483507]]","[[ 0.09288194  0.40397135]
 [-0.00672743  0.40983073]
 [ 0.15538194  0.33951823]
 [ 0.05577257  0.51529948]
 [ 0.11631944  0.4781901 ]
 [ 0.17491319  0.45084635]
 [-0.05555556  0.40592448]
 [ 0.02256944  0.3063151 ]
 [ 0.05577257  0.36490885]
 [-0.05360243  0.39811198]
 [ 0.04600694  0.4000651 ]
 [-0.08289931  0.4860026 ]
 [-0.02821181  0.46451823]
 [ 0.04796007  0.3922526 ]
 [ 0.09483507  0.4000651 ]]","[[ 0.12105758  0.40397135]
 [ 0.07027633  0.40983073]
 [ 0.17574508  0.33951823]
 [ 0.12105758  0.51529948]
 [ 0.17574508  0.4781901 ]
 [ 0.17965133  0.45084635]
 [ 0.02340133  0.40592448]
 [ 0.07027633  0.3063151 ]
 [ 0.07027633  0.36490885]
 [ 0.02340133  0.39811198]
 [ 0.07027633  0.4000651 ]
 [ 0.02340133  0.4860026 ]
 [-0.02737992  0.46451823]
 [ 0.07027633  0.3922526 ]
 [ 0.07027633  0.4000651 ]]"
4,"[[-0.13665022 -0.07949561]
 [-0.14055647 -0.02871436]
 [-0.13665022 -0.10293311]
 [-0.14055647 -0.04629249]
 [-0.13665022 -0.12051124]
 [-0.08977522 -0.06191749]
 [-0.09172834 -0.00722999]
 [-0.03704084 -0.10097999]
 [-0.03704084 -0.05996436]
 [ 0.01374041 -0.11269874]
 [ 0.06452166 -0.06972999]
 [-0.08391584 -0.10293311]
 [-0.13665022 -0.05410499]
 [-0.14055647 -0.00527686]
 [-0.13079084 -0.14199561]
 [-0.13079084 -0.16347999]
 [-0.09172834  0.01230126]
 [-0.13079084 -0.19668311]
 [-0.14836897  0.07675439]
 [ 0.01374041 -0.13027686]
 [-0.09172834 -0.02090186]
 [ 0.01374041 -0.15566749]
 [ 0.06647478 -0.00918311]
 [ 0.06452166 -0.14004249]
 [ 0.06452166 -0.09707374]
 [ 0.06647478 -0.03847999]
 [ 0.06842791  0.02206689]
 [ 0.01374041  0.01230126]]","[[-0.07949561  0.07791941]
 [-0.02871436  0.07401316]
 [-0.10293311  0.15213816]
 [-0.04629249  0.13065378]
 [-0.12051124  0.20291941]
 [-0.06191749  0.19120066]
 [-0.00722999  0.17557566]
 [-0.10097999  0.16971628]
 [-0.05996436  0.19315378]
 [-0.11269874  0.20096628]
 [-0.06972999  0.22049753]
 [-0.10293311  0.00370066]
 [-0.05410499 -0.01387747]
 [-0.00527686 -0.01973684]
 [-0.14199561  0.12284128]
 [-0.16347999  0.18729441]
 [ 0.01230126  0.11307566]
 [-0.19668311  0.26541941]
 [ 0.07675439  0.03690378]
 [-0.13027686  0.11307566]
 [-0.02090186  0.21268503]
 [-0.15566749  0.18534128]
 [-0.00918311  0.19120066]
 [-0.14004249  0.26737253]
 [-0.09707374  0.28495066]
 [-0.03847999  0.26932566]
 [ 0.02206689  0.24198191]
 [ 0.01230126  0.27127878]]","[[-0.13665022  0.07791941]
 [-0.14055647  0.07401316]
 [-0.13665022  0.15213816]
 [-0.14055647  0.13065378]
 [-0.13665022  0.20291941]
 [-0.08977522  0.19120066]
 [-0.09172834  0.17557566]
 [-0.03704084  0.16971628]
 [-0.03704084  0.19315378]
 [ 0.01374041  0.20096628]
 [ 0.06452166  0.22049753]
 [-0.08391584  0.00370066]
 [-0.13665022 -0.01387747]
 [-0.14055647 -0.01973684]
 [-0.13079084  0.12284128]
 [-0.13079084  0.18729441]
 [-0.09172834  0.11307566]
 [-0.13079084  0.26541941]
 [-0.14836897  0.03690378]
 [ 0.01374041  0.11307566]
 [-0.09172834  0.21268503]
 [ 0.01374041  0.18534128]
 [ 0.06647478  0.19120066]
 [ 0.06452166  0.26737253]
 [ 0.06452166  0.28495066]
 [ 0.06647478  0.26932566]
 [ 0.06842791  0.24198191]
 [ 0.01374041  0.27127878]]"
5,"[[-0.17636719 -0.02114258]
 [-0.12949219  0.03745117]
 [-0.17050781 -0.03286133]
 [-0.17636719  0.01401367]
 [-0.18027344  0.0550293 ]
 [-0.18417969  0.05112305]
 [-0.21933594 -0.1012207 ]
 [-0.13144531  0.07651367]
 [-0.07675781 -0.01333008]
 [-0.07675781  0.04331055]
 [-0.07871094  0.09018555]
 [-0.08066406  0.14682617]]","[[-0.02114258  0.22817383]
 [ 0.03745117  0.2105957 ]
 [-0.03286133  0.11879883]
 [ 0.01401367  0.12270508]
 [ 0.0550293   0.14614258]
 [ 0.05112305  0.29848633]
 [-0.1012207   0.28286133]
 [ 0.07651367  0.2418457 ]
 [-0.01333008  0.22231445]
 [ 0.04331055  0.20668945]
 [ 0.09018555  0.21254883]
 [ 0.14682617  0.19106445]]","[[-0.17636719  0.22817383]
 [-0.12949219  0.2105957 ]
 [-0.17050781  0.11879883]
 [-0.17636719  0.12270508]
 [-0.18027344  0.14614258]
 [-0.18417969  0.29848633]
 [-0.21933594  0.28286133]
 [-0.13144531  0.2418457 ]
 [-0.07675781  0.22231445]
 [-0.07675781  0.20668945]
 [-0.07871094  0.21254883]
 [-0.08066406  0.19106445]]"
6,"[[ 0.05568788  0.16487233]
 [ 0.05568788  0.18049733]
 [ 0.06054688  0.1038644 ]
 [ 0.05859375  0.03745815]
 [ 0.06054688  0.0882394 ]
 [ 0.00390625  0.09800502]
 [ 0.00390625  0.12144252]
 [ 0.00868804  0.00633082]
 [-0.05368712  0.11799733]
 [ 0.11037538  0.13948171]
 [ 0.05568788  0.22932546]
 [ 0.11037538  0.13557546]
 [ 0.05568788  0.16096608]
 [ 0.05568788  0.21174733]
 [ 0.11428163  0.27815358]
 [-0.046875   -0.06605748]
 [ 0.00390625 -0.00160435]
 [-0.046875   -0.06996373]
 [ 0.00390625  0.00620815]
 [ 0.05859375  0.07066127]
 [ 0.00390625 -0.03285435]
 [ 0.00390625  0.11558315]
 [ 0.00390625  0.1585519 ]
 [ 0.00390625  0.16050502]
 [ 0.00868804 -0.04640356]]","[[ 0.16487233  0.18907203]
 [ 0.18049733  0.10704078]
 [ 0.1038644   0.03724888]
 [ 0.03745815  0.12904576]
 [ 0.0882394   0.12123326]
 [ 0.09800502  0.08021763]
 [ 0.12144252  0.18568638]
 [ 0.00633082  0.13719019]
 [ 0.11799733  0.16954078]
 [ 0.13948171  0.0699314 ]
 [ 0.22932546  0.1011814 ]
 [ 0.13557546  0.08750953]
 [ 0.16096608  0.20469703]
 [ 0.21174733  0.20079078]
 [ 0.27815358  0.08360328]
 [-0.06605748  0.15834263]
 [-0.00160435  0.09388951]
 [-0.06996373  0.17396763]
 [ 0.00620815  0.05678013]
 [ 0.07066127 -0.06040737]
 [-0.03285435  0.22084263]
 [ 0.11558315 -0.03306362]
 [ 0.1585519  -0.00181362]
 [ 0.16050502  0.22084263]
 [-0.04640356  0.14695582]]","[[ 0.05568788  0.18907203]
 [ 0.05568788  0.10704078]
 [ 0.06054688  0.03724888]
 [ 0.05859375  0.12904576]
 [ 0.06054688  0.12123326]
 [ 0.00390625  0.08021763]
 [ 0.00390625  0.18568638]
 [ 0.00868804  0.13719019]
 [-0.05368712  0.16954078]
 [ 0.11037538  0.0699314 ]
 [ 0.05568788  0.1011814 ]
 [ 0.11037538  0.08750953]
 [ 0.05568788  0.20469703]
 [ 0.05568788  0.20079078]
 [ 0.11428163  0.08360328]
 [-0.046875    0.15834263]
 [ 0.00390625  0.09388951]
 [-0.046875    0.17396763]
 [ 0.00390625  0.05678013]
 [ 0.05859375 -0.06040737]
 [ 0.00390625  0.22084263]
 [ 0.00390625 -0.03306362]
 [ 0.00390625 -0.00181362]
 [ 0.00390625  0.22084263]
 [ 0.00868804  0.14695582]]"
7,"[[-0.15177409  0.03670247]
 [-0.15177409  0.06795247]
 [-0.04630534  0.00349935]
 [-0.15568034  0.08357747]
 [-0.15763346  0.14412435]
 [-0.09708659  0.0152181 ]
 [-0.15568034  0.12849935]
 [-0.15763346  0.17732747]
 [-0.20060221 -0.00236003]
 [-0.20450846  0.02693685]
 [-0.20841471  0.07967122]
 [-0.21427409  0.12654622]
 [-0.09798177 -0.0304362 ]]","[[ 0.03670247  0.23111979]
 [ 0.06795247  0.14322917]
 [ 0.00349935  0.19791667]
 [ 0.08357747  0.24088542]
 [ 0.14412435  0.21158854]
 [ 0.0152181   0.15885417]
 [ 0.12849935  0.10611979]
 [ 0.17732747  0.10611979]
 [-0.00236003  0.19205729]
 [ 0.02693685  0.24479167]
 [ 0.07967122  0.23697917]
 [ 0.12654622  0.24674479]
 [-0.0304362   0.32177734]]","[[-0.15177409  0.23111979]
 [-0.15177409  0.14322917]
 [-0.04630534  0.19791667]
 [-0.15568034  0.24088542]
 [-0.15763346  0.21158854]
 [-0.09708659  0.15885417]
 [-0.15568034  0.10611979]
 [-0.15763346  0.10611979]
 [-0.20060221  0.19205729]
 [-0.20450846  0.24479167]
 [-0.20841471  0.23697917]
 [-0.21427409  0.24674479]
 [-0.09798177  0.32177734]]"
8,"[[ 0.06217448  0.04573568]
 [ 0.01139323  0.08284505]
 [-0.04329427  0.0398763 ]
 [-0.04329427  0.09651693]
 [-0.09798177  0.05159505]
 [-0.0999349   0.10628255]
 [-0.14873047  0.02490234]
 [-0.15263672  0.08154297]
 [-0.04326172  0.06005859]
 [-0.09599609  0.11865234]
 [-0.14873047  0.09130859]
 [-0.14677734 -0.00244141]
 [-0.14873047  0.06396484]
 [-0.20537109  0.11083984]
 [-0.05808424  0.00704823]
 [-0.11863111  0.06564198]
 [-0.00144361  0.03439198]
 [ 0.04933764  0.08517323]
 [ 0.00050951 -0.03787364]
 [-0.00144361  0.02072011]
 [-0.00534986  0.07345448]
 [-0.00730299  0.13204823]
 [ 0.00748698  0.0242513 ]
 [ 0.12467448  0.1492513 ]
 [-0.04329427 -0.06363932]
 [-0.04329427 -0.01285807]
 [-0.04329427  0.17854818]
 [-0.19759115 -0.09098307]
 [-0.14876302 -0.04410807]
 [-0.09798177 -0.00309245]
 [-0.0999349   0.05159505]
 [-0.04329427  0.1258138 ]
 [-0.19755859 -0.06103516]
 [-0.15458984  0.14404297]
 [-0.04326172  0.17138672]
 [-0.04326172  0.22412109]
 [-0.14677734  0.03076172]
 [-0.15263672  0.14599609]
 [-0.09990234  0.21044922]
 [-0.09990234  0.18701172]
 [-0.05027174 -0.11013927]
 [-0.05417799 -0.04373302]
 [ 0.10402514 -0.01638927]
 [ 0.10402514  0.13009511]
 [ 0.05324389 -0.07693614]]","[[ 0.04573568 -0.06103516]
 [ 0.08284505 -0.00048828]
 [ 0.0398763  -0.02197266]
 [ 0.09651693 -0.06298828]
 [ 0.05159505  0.11083984]
 [ 0.10628255  0.09130859]
 [ 0.02490234  0.19511719]
 [ 0.08154297  0.18339844]
 [ 0.06005859 -0.03925781]
 [ 0.11865234 -0.08027344]
 [ 0.09130859  0.01347656]
 [-0.00244141  0.14042969]
 [ 0.06396484  0.09746094]
 [ 0.11083984  0.09160156]
 [ 0.00704823  0.12330163]
 [ 0.06564198  0.08423913]
 [ 0.03439198 -0.10521399]
 [ 0.08517323 -0.11107337]
 [-0.03787364 -0.02122962]
 [ 0.02072011 -0.05052649]
 [ 0.07345448 -0.07201087]
 [ 0.13204823 -0.11888587]
 [ 0.0242513  -0.21728516]
 [ 0.1492513  -0.13330078]
 [-0.06363932  0.15966797]
 [-0.01285807  0.15576172]
 [ 0.17854818  0.00341797]
 [-0.09098307  0.21044922]
 [-0.04410807  0.23193359]
 [-0.00309245  0.26318359]
 [ 0.05159505  0.25341797]
 [ 0.1258138   0.18505859]
 [-0.06103516  0.26152344]
 [ 0.14404297  0.15214844]
 [ 0.17138672 -0.09980469]
 [ 0.22412109 -0.11738281]
 [ 0.03076172  0.05058594]
 [ 0.14599609 -0.00996094]
 [ 0.21044922 -0.06074219]
 [ 0.18701172  0.02519531]
 [-0.11013927  0.16236413]
 [-0.04373302  0.12525476]
 [-0.01638927 -0.08763587]
 [ 0.13009511 -0.08958899]
 [-0.07693614 -0.04662024]]","[[ 0.06217448 -0.06103516]
 [ 0.01139323 -0.00048828]
 [-0.04329427 -0.02197266]
 [-0.04329427 -0.06298828]
 [-0.09798177  0.11083984]
 [-0.0999349   0.09130859]
 [-0.14873047  0.19511719]
 [-0.15263672  0.18339844]
 [-0.04326172 -0.03925781]
 [-0.09599609 -0.08027344]
 [-0.14873047  0.01347656]
 [-0.14677734  0.14042969]
 [-0.14873047  0.09746094]
 [-0.20537109  0.09160156]
 [-0.05808424  0.12330163]
 [-0.11863111  0.08423913]
 [-0.00144361 -0.10521399]
 [ 0.04933764 -0.11107337]
 [ 0.00050951 -0.02122962]
 [-0.00144361 -0.05052649]
 [-0.00534986 -0.07201087]
 [-0.00730299 -0.11888587]
 [ 0.00748698 -0.21728516]
 [ 0.12467448 -0.13330078]
 [-0.04329427  0.15966797]
 [-0.04329427  0.15576172]
 [-0.04329427  0.00341797]
 [-0.19759115  0.21044922]
 [-0.14876302  0.23193359]
 [-0.09798177  0.26318359]
 [-0.0999349   0.25341797]
 [-0.04329427  0.18505859]
 [-0.19755859  0.26152344]
 [-0.15458984  0.15214844]
 [-0.04326172 -0.09980469]
 [-0.04326172 -0.11738281]
 [-0.14677734  0.05058594]
 [-0.15263672 -0.00996094]
 [-0.09990234 -0.06074219]
 [-0.09990234  0.02519531]
 [-0.05027174  0.16236413]
 [-0.05417799  0.12525476]
 [ 0.10402514 -0.08763587]
 [ 0.10402514 -0.08958899]
 [ 0.05324389 -0.04662024]]"
9,"[[-0.03204346  0.15588379]
 [-0.03009033  0.07775879]
 [-0.03594971  0.18713379]
 [-0.03790283  0.22814941]
 [-0.03009033  0.04846191]
 [-0.08477783  0.10314941]
 [-0.03594971  0.15783691]
 [-0.0803833   0.06268311]
 [-0.0803833   0.13494873]
 [-0.05808424  0.04806386]
 [-0.06394361  0.11251698]
 [-0.08087158  0.00549316]
 [-0.08477783  0.06799316]
 [-0.03594971  0.11682129]
 [-0.04180908  0.22619629]
 [-0.03009033  0.10314941]
 [-0.03594971  0.20861816]
 [-0.03790283  0.24572754]
 [-0.02618408  0.01525879]
 [-0.03204346  0.13244629]
 [ 0.01678467  0.27697754]
 [-0.07696533  0.00158691]
 [-0.14923096  0.22229004]
 [-0.1897583   0.15447998]
 [-0.0803833   0.26190186]
 [-0.0803833   0.01776123]]","[[ 0.15588379  0.05700684]
 [ 0.07775879  0.17224121]
 [ 0.18713379  0.12731934]
 [ 0.22814941  0.15856934]
 [ 0.04846191  0.26013184]
 [ 0.10314941  0.23474121]
 [ 0.15783691  0.23083496]
 [ 0.06268311  0.26953125]
 [ 0.13494873  0.16601562]
 [ 0.04806386  0.00220788]
 [ 0.11251698 -0.05247962]
 [ 0.00549316  0.35778809]
 [ 0.06799316  0.33239746]
 [ 0.11682129  0.34606934]
 [ 0.22619629  0.32263184]
 [ 0.10314941  0.07653809]
 [ 0.20861816  0.02575684]
 [ 0.24572754  0.08044434]
 [ 0.01525879  0.21325684]
 [ 0.13244629  0.15075684]
 [ 0.27697754  0.16442871]
 [ 0.00158691  0.24450684]
 [ 0.22229004  0.13513184]
 [ 0.15447998  0.27734375]
 [ 0.26190186  0.24414062]
 [ 0.01776123  0.2578125 ]]","[[-0.03204346  0.05700684]
 [-0.03009033  0.17224121]
 [-0.03594971  0.12731934]
 [-0.03790283  0.15856934]
 [-0.03009033  0.26013184]
 [-0.08477783  0.23474121]
 [-0.03594971  0.23083496]
 [-0.0803833   0.26953125]
 [-0.0803833   0.16601562]
 [-0.05808424  0.00220788]
 [-0.06394361 -0.05247962]
 [-0.08087158  0.35778809]
 [-0.08477783  0.33239746]
 [-0.03594971  0.34606934]
 [-0.04180908  0.32263184]
 [-0.03009033  0.07653809]
 [-0.03594971  0.02575684]
 [-0.03790283  0.08044434]
 [-0.02618408  0.21325684]
 [-0.03204346  0.15075684]
 [ 0.01678467  0.16442871]
 [-0.07696533  0.24450684]
 [-0.14923096  0.13513184]
 [-0.1897583   0.27734375]
 [-0.0803833   0.24414062]
 [-0.0803833   0.2578125 ]]"
