,xy,yz,xz
0,"[[ 0.0546875   0.08304398]
 [ 0.04492188 -0.01070602]
 [-0.05859375  0.04202836]
 [-0.0078125  -0.00679977]
 [ 0.04882812  0.03616898]
 [-0.06054688 -0.00484664]
 [-0.00390625  0.03616898]
 [ 0.11523438  0.12405961]
 [-0.11328125 -0.00289352]
 [-0.11328125  0.04398148]
 [-0.00195312  0.08695023]
 [ 0.05859375  0.12991898]
 [ 0.09179688 -0.06539352]
 [-0.00195312  0.08695023]
 [ 0.09179688 -0.06344039]
 [ 0.09765625 -0.01656539]
 [-0.06054688 -0.01070602]
 [-0.00976562 -0.05367477]]","[[ 0.08304398 -0.078125  ]
 [-0.01070602 -0.0703125 ]
 [ 0.04202836 -0.09960938]
 [-0.00679977 -0.078125  ]
 [ 0.03616898 -0.01367188]
 [-0.00484664 -0.07617188]
 [ 0.03616898 -0.16992188]
 [ 0.12405961 -0.02539062]
 [-0.00289352 -0.0078125 ]
 [ 0.04398148 -0.06445312]
 [ 0.08695023 -0.01367188]
 [ 0.12991898 -0.01757812]
 [-0.06539352 -0.1171875 ]
 [ 0.08695023  0.01171875]
 [-0.06344039 -0.01757812]
 [-0.01656539 -0.09375   ]
 [-0.01070602 -0.19140625]
 [-0.05367477 -0.06835938]]","[[ 0.0546875  -0.078125  ]
 [ 0.04492188 -0.0703125 ]
 [-0.05859375 -0.09960938]
 [-0.0078125  -0.078125  ]
 [ 0.04882812 -0.01367188]
 [-0.06054688 -0.07617188]
 [-0.00390625 -0.16992188]
 [ 0.11523438 -0.02539062]
 [-0.11328125 -0.0078125 ]
 [-0.11328125 -0.06445312]
 [-0.00195312 -0.01367188]
 [ 0.05859375 -0.01757812]
 [ 0.09179688 -0.1171875 ]
 [-0.00195312  0.01171875]
 [ 0.09179688 -0.01757812]
 [ 0.09765625 -0.09375   ]
 [-0.06054688 -0.19140625]
 [-0.00976562 -0.06835938]]"
1,"[[0.08781829 0.24631076]
 [0.14445891 0.28927951]
 [0.08195891 0.15060764]
 [0.09172454 0.29318576]
 [0.03899016 0.34396701]
 [0.13664641 0.19552951]
 [0.14055266 0.24240451]
 [0.03313079 0.19943576]
 [0.14055266 0.24045139]
 [0.14445891 0.28732639]]","[[ 0.24631076  0.02813947]
 [ 0.28927951  0.09454572]
 [ 0.15060764 -0.04803241]
 [ 0.29318576  0.10821759]
 [ 0.34396701  0.06524884]
 [ 0.19552951  0.05938947]
 [ 0.24240451  0.10040509]
 [ 0.19943576  0.12188947]
 [ 0.24045139  0.11212384]
 [ 0.28732639 -0.05389178]]","[[ 0.08781829  0.02813947]
 [ 0.14445891  0.09454572]
 [ 0.08195891 -0.04803241]
 [ 0.09172454  0.10821759]
 [ 0.03899016  0.06524884]
 [ 0.13664641  0.05938947]
 [ 0.14055266  0.10040509]
 [ 0.03313079  0.12188947]
 [ 0.14055266  0.11212384]
 [ 0.14445891 -0.05389178]]"
2,"[[-0.02832031 -0.04622396]
 [ 0.02636719 -0.00716146]
 [-0.02441406  0.04947917]
 [ 0.02441406 -0.04622396]
 [ 0.02636719  0.00065104]
 [-0.02441406  0.04947917]
 [-0.04765625  0.00410156]
 [-0.04960937 -0.04667969]
 [ 0.00507813 -0.00566406]
 [-0.04765625 -0.00761719]
 [ 0.003125   -0.03105469]
 [ 0.003125   -0.03105469]
 [ 0.0578125   0.00996094]
 [ 0.00898438  0.06269531]
 [-0.02749399 -0.07091346]
 [ 0.02719351 -0.02403846]
 [ 0.03109976  0.02478966]
 [-0.02163462  0.07752404]
 [-0.02749399 -0.08263221]
 [-0.02554087 -0.03380409]
 [-0.02358774  0.02674279]
 [ 0.02719351 -0.00255409]
 [ 0.03109976  0.04432091]
 [-0.02749399 -0.06700721]
 [ 0.02719351 -0.01427284]
 [ 0.03109976  0.03650841]
 [-0.02163462  0.08533654]
 [ 0.00898438  0.03339844]
 [ 0.0578125   0.01191406]]","[[-0.04622396  0.04622396]
 [-0.00716146  0.12044271]
 [ 0.04947917  0.00911458]
 [-0.04622396 -0.03190104]
 [ 0.00065104 -0.12760417]
 [ 0.04947917 -0.01627604]
 [ 0.00410156  0.06054688]
 [-0.04667969  0.08203125]
 [-0.00566406  0.11132812]
 [-0.00761719  0.13867188]
 [-0.03105469 -0.125     ]
 [-0.03105469 -0.11132812]
 [ 0.00996094 -0.08007812]
 [ 0.06269531 -0.09765625]
 [-0.07091346  0.04462139]
 [-0.02403846  0.03680889]
 [ 0.02478966  0.03094952]
 [ 0.07752404  0.00946514]
 [-0.08263221  0.10126202]
 [-0.03380409  0.09540264]
 [ 0.02674279  0.03094952]
 [-0.00255409 -0.11944111]
 [ 0.04432091 -0.13115986]
 [-0.06700721  0.02313702]
 [-0.01427284 -0.02373798]
 [ 0.03650841 -0.04912861]
 [ 0.08533654 -0.04912861]
 [ 0.03339844  0.1640625 ]
 [ 0.01191406 -0.14257812]]","[[-0.02832031  0.04622396]
 [ 0.02636719  0.12044271]
 [-0.02441406  0.00911458]
 [ 0.02441406 -0.03190104]
 [ 0.02636719 -0.12760417]
 [-0.02441406 -0.01627604]
 [-0.04765625  0.06054688]
 [-0.04960937  0.08203125]
 [ 0.00507813  0.11132812]
 [-0.04765625  0.13867188]
 [ 0.003125   -0.125     ]
 [ 0.003125   -0.11132812]
 [ 0.0578125  -0.08007812]
 [ 0.00898438 -0.09765625]
 [-0.02749399  0.04462139]
 [ 0.02719351  0.03680889]
 [ 0.03109976  0.03094952]
 [-0.02163462  0.00946514]
 [-0.02749399  0.10126202]
 [-0.02554087  0.09540264]
 [-0.02358774  0.03094952]
 [ 0.02719351 -0.11944111]
 [ 0.03109976 -0.13115986]
 [-0.02749399  0.02313702]
 [ 0.02719351 -0.02373798]
 [ 0.03109976 -0.04912861]
 [-0.02163462 -0.04912861]
 [ 0.00898438  0.1640625 ]
 [ 0.0578125  -0.14257812]]"
3,"[[ 0.00965712 -0.06174045]
 [ 0.01161024 -0.02072483]
 [ 0.01161024  0.01638455]
 [ 0.06043837 -0.0500217 ]
 [ 0.06434462  0.00661892]
 [ 0.06825087  0.06521267]
 [ 0.01860609 -0.0547903 ]
 [ 0.01860609 -0.05674342]
 [ 0.02055921  0.00380345]
 [ 0.02446546  0.06825658]
 [-0.03412829 -0.08018092]
 [-0.03217516  0.00185033]
 [ 0.07329359  0.02724095]
 [ 0.06434462 -0.04611545]
 [ 0.01551649  0.0593533 ]
 [-0.03917101  0.0359158 ]
 [-0.09385851 -0.08322483]
 [-0.04112413 -0.04611545]
 [-0.03917101  0.01833767]
 [ 0.01551649  0.08083767]
 [ 0.07329359  0.0311472 ]
 [-0.03022204  0.0780222 ]
 [ 0.06938734 -0.01182155]
 [ 0.01469984 -0.10752467]
 [ 0.06938734 -0.0235403 ]]","[[-0.06174045  0.11729601]
 [-0.02072483  0.14463976]
 [ 0.01638455 -0.03309462]
 [-0.0500217   0.05479601]
 [ 0.00661892 -0.00184462]
 [ 0.06521267 -0.07215712]
 [-0.0547903   0.08028372]
 [-0.05674342  0.09004934]
 [ 0.00380345  0.03926809]
 [ 0.06825658 -0.04862253]
 [-0.08018092  0.17793997]
 [ 0.00185033  0.06075247]
 [ 0.02724095 -0.12088816]
 [-0.04611545  0.21885851]
 [ 0.0593533  -0.00575087]
 [ 0.0359158   0.11924913]
 [-0.08322483  0.20323351]
 [-0.04611545  0.23643663]
 [ 0.01833767  0.18956163]
 [ 0.08083767 -0.18348524]
 [ 0.0311472  -0.15018503]
 [ 0.0780222  -0.09549753]
 [-0.01182155 -0.18924753]
 [-0.10752467  0.09786184]
 [-0.0235403  -0.08768503]]","[[ 0.00965712  0.11729601]
 [ 0.01161024  0.14463976]
 [ 0.01161024 -0.03309462]
 [ 0.06043837  0.05479601]
 [ 0.06434462 -0.00184462]
 [ 0.06825087 -0.07215712]
 [ 0.01860609  0.08028372]
 [ 0.01860609  0.09004934]
 [ 0.02055921  0.03926809]
 [ 0.02446546 -0.04862253]
 [-0.03412829  0.17793997]
 [-0.03217516  0.06075247]
 [ 0.07329359 -0.12088816]
 [ 0.06434462  0.21885851]
 [ 0.01551649 -0.00575087]
 [-0.03917101  0.11924913]
 [-0.09385851  0.20323351]
 [-0.04112413  0.23643663]
 [-0.03917101  0.18956163]
 [ 0.01551649 -0.18348524]
 [ 0.07329359 -0.15018503]
 [-0.03022204 -0.09549753]
 [ 0.06938734 -0.18924753]
 [ 0.01469984  0.09786184]
 [ 0.06938734 -0.08768503]]"
4,"[[ 7.71998355e-02  7.41159539e-02]
 [ 8.28857422e-02  4.35791016e-02]
 [ 8.28857422e-02  6.50634766e-02]
 [-5.73730469e-03 -7.56835938e-03]
 [ 7.70263672e-02 -4.43115234e-02]
 [ 7.89794922e-02 -5.24902344e-03]
 [ 7.70263672e-02 -5.99365234e-02]
 [ 1.31713867e-01  2.40478516e-02]
 [ 8.28857422e-02  8.06884766e-02]
 [ 7.70263672e-02 -2.47802734e-02]
 [ 1.31713867e-01  2.20947266e-02]
 [-5.73730469e-03 -2.12402344e-02]
 [-3.78417969e-03  3.34472656e-02]
 [-5.45654297e-02  9.59472656e-02]
 [-5.84716797e-02 -1.34277344e-02]
 [ 4.89501953e-02  5.88378906e-02]
 [-3.78417969e-03  5.29785156e-02]
 [ 1.22070312e-04  9.39941406e-02]]","[[ 0.07411595 -0.11893503]
 [ 0.0435791  -0.0513916 ]
 [ 0.06506348 -0.1451416 ]
 [-0.00756836 -0.04846191]
 [-0.04431152 -0.09240723]
 [-0.00524902 -0.04943848]
 [-0.05993652 -0.02600098]
 [ 0.02404785 -0.21350098]
 [ 0.08068848 -0.24865723]
 [-0.02478027 -0.1763916 ]
 [ 0.02209473 -0.19396973]
 [-0.02124023  0.02185059]
 [ 0.03344727 -0.00549316]
 [ 0.09594727 -0.08361816]
 [-0.01342773 -0.00158691]
 [ 0.05883789 -0.24572754]
 [ 0.05297852 -0.13049316]
 [ 0.09399414 -0.08361816]]","[[ 7.71998355e-02 -1.18935033e-01]
 [ 8.28857422e-02 -5.13916016e-02]
 [ 8.28857422e-02 -1.45141602e-01]
 [-5.73730469e-03 -4.84619141e-02]
 [ 7.70263672e-02 -9.24072266e-02]
 [ 7.89794922e-02 -4.94384766e-02]
 [ 7.70263672e-02 -2.60009766e-02]
 [ 1.31713867e-01 -2.13500977e-01]
 [ 8.28857422e-02 -2.48657227e-01]
 [ 7.70263672e-02 -1.76391602e-01]
 [ 1.31713867e-01 -1.93969727e-01]
 [-5.73730469e-03  2.18505859e-02]
 [-3.78417969e-03 -5.49316406e-03]
 [-5.45654297e-02 -8.36181641e-02]
 [-5.84716797e-02 -1.58691406e-03]
 [ 4.89501953e-02 -2.45727539e-01]
 [-3.78417969e-03 -1.30493164e-01]
 [ 1.22070312e-04 -8.36181641e-02]]"
5,"[[ 0.01841518  0.03543527]
 [ 0.01450893  0.01590402]
 [ 0.00273437  0.04648437]
 [ 0.          0.        ]
 [-0.02539062 -0.00390625]
 [ 0.0203683   0.08133371]
 [ 0.02232143  0.13211496]
 [-0.04017857 -0.08956473]
 [-0.03822545 -0.03487723]
 [ 0.01450893  0.03934152]
 [-0.04017857 -0.05440848]
 [-0.00117188 -0.0453125 ]
 [-0.05585938 -0.05898438]
 [-0.00117188  0.00742187]
 [ 0.05546875  0.05039062]
 [ 0.02539062  0.00390625]]","[[ 0.03543527  0.05831473]
 [ 0.01590402 -0.04129464]
 [ 0.04648437 -0.02460937]
 [ 0.          0.        ]
 [-0.00390625  0.07519531]
 [ 0.08133371  0.11732701]
 [ 0.13211496  0.05873326]
 [-0.08956473  0.13839286]
 [-0.03487723  0.12862723]
 [ 0.03934152 -0.14676339]
 [-0.05440848  0.04268973]
 [-0.0453125   0.14335938]
 [-0.05898438  0.02617188]
 [ 0.00742187 -0.07148437]
 [ 0.05039062 -0.0734375 ]
 [ 0.00390625 -0.07519531]]","[[ 0.01841518  0.05831473]
 [ 0.01450893 -0.04129464]
 [ 0.00273437 -0.02460937]
 [ 0.          0.        ]
 [-0.02539062  0.07519531]
 [ 0.0203683   0.11732701]
 [ 0.02232143  0.05873326]
 [-0.04017857  0.13839286]
 [-0.03822545  0.12862723]
 [ 0.01450893 -0.14676339]
 [-0.04017857  0.04268973]
 [-0.00117188  0.14335938]
 [-0.05585938  0.02617188]
 [-0.00117188 -0.07148437]
 [ 0.05546875 -0.0734375 ]
 [ 0.02539062 -0.07519531]]"
