,xy,yz,xz
0,"[[-0.01136364 -0.10697798]
 [-0.05628551 -0.11479048]
 [-0.01136364 -0.14799361]
 [-0.01136364 -0.10502486]
 [-0.01136364 -0.11674361]
 [-0.05823864 -0.04643111]
 [-0.09925426 -0.15189986]
 [-0.10511364 -0.07572798]
 [-0.01136364 -0.06596236]
 [-0.01136364 -0.16752486]
 [-0.01136364 -0.06596236]
 [-0.01136364 -0.14018111]]","[[-0.10697798  0.11794212]
 [-0.11479048  0.15114524]
 [-0.14799361  0.08669212]
 [-0.10502486  0.10817649]
 [-0.11674361  0.16872337]
 [-0.04643111  0.03395774]
 [-0.15189986  0.08669212]
 [-0.07572798  0.18044212]
 [-0.06596236  0.15309837]
 [-0.16752486  0.17848899]
 [-0.06596236  0.15309837]
 [-0.14018111  0.25466087]]","[[-0.01136364  0.11794212]
 [-0.05628551  0.15114524]
 [-0.01136364  0.08669212]
 [-0.01136364  0.10817649]
 [-0.01136364  0.16872337]
 [-0.05823864  0.03395774]
 [-0.09925426  0.08669212]
 [-0.10511364  0.18044212]
 [-0.01136364  0.15309837]
 [-0.01136364  0.17848899]
 [-0.01136364  0.15309837]
 [-0.01136364  0.25466087]]"
1,"[[-0.13999853 -0.05048644]
 [-0.14390478  0.01982606]
 [-0.04624853 -0.02900206]
 [-0.0911704  -0.09931456]
 [-0.09507665  0.00420106]
 [-0.1458579   0.05498231]
 [-0.1380454  -0.13056456]
 [-0.13999853 -0.08759581]
 [-0.14390478 -0.02704894]
 [-0.19663915  0.02568544]]","[[-0.05048644  0.32237618]
 [ 0.01982606  0.23253243]
 [-0.02900206  0.25206368]
 [-0.09931456  0.33018868]
 [ 0.00420106  0.30479805]
 [ 0.05498231  0.2852668 ]
 [-0.13056456  0.41612618]
 [-0.08759581  0.43175118]
 [-0.02704894  0.40440743]
 [ 0.02568544  0.37706368]]","[[-0.13999853  0.32237618]
 [-0.14390478  0.23253243]
 [-0.04624853  0.25206368]
 [-0.0911704   0.33018868]
 [-0.09507665  0.30479805]
 [-0.1458579   0.2852668 ]
 [-0.1380454   0.41612618]
 [-0.13999853  0.43175118]
 [-0.14390478  0.40440743]
 [-0.19663915  0.37706368]]"
2,"[[-0.33129883  0.04763794]
 [-0.28833008  0.10623169]
 [-0.34106445  0.15310669]
 [-0.28442383  0.06521606]
 [-0.28833008  0.11795044]
 [-0.2824707   0.01052856]
 [-0.28442383  0.05349731]
 [-0.28833008  0.10623169]
 [-0.28442383  0.03591919]
 [-0.33520508  0.08084106]
 [-0.34106445  0.14920044]
 [-0.33129883  0.04763794]
 [-0.33520508  0.08474731]
 [-0.2824707   0.03005981]
 [-0.2902832   0.17654419]
 [-0.2902832   0.17068481]
 [-0.32739258 -0.01095581]]","[[ 0.04763794  0.49264526]
 [ 0.10623169  0.47311401]
 [ 0.15310669  0.46920776]
 [ 0.06521606  0.44577026]
 [ 0.11795044  0.43014526]
 [ 0.01052856  0.46530151]
 [ 0.05349731  0.48678589]
 [ 0.10623169  0.47702026]
 [ 0.03591919  0.53756714]
 [ 0.08084106  0.53756714]
 [ 0.14920044  0.47897339]
 [ 0.04763794  0.49069214]
 [ 0.08474731  0.52975464]
 [ 0.03005981  0.40084839]
 [ 0.17654419  0.38912964]
 [ 0.17068481  0.41452026]
 [-0.01095581  0.51803589]]","[[-0.33129883  0.49264526]
 [-0.28833008  0.47311401]
 [-0.34106445  0.46920776]
 [-0.28442383  0.44577026]
 [-0.28833008  0.43014526]
 [-0.2824707   0.46530151]
 [-0.28442383  0.48678589]
 [-0.28833008  0.47702026]
 [-0.28442383  0.53756714]
 [-0.33520508  0.53756714]
 [-0.34106445  0.47897339]
 [-0.33129883  0.49069214]
 [-0.33520508  0.52975464]
 [-0.2824707   0.40084839]
 [-0.2902832   0.38912964]
 [-0.2902832   0.41452026]
 [-0.32739258  0.51803589]]"
3,"[[-0.15509259  0.03190104]
 [-0.10821759  0.08463542]
 [-0.05743634 -0.01692708]
 [-0.05743634  0.04361979]
 [-0.05743634  0.09635417]
 [-0.05743634  0.09635417]
 [-0.04000289 -0.01779514]
 [-0.05743634  0.06901042]
 [-0.15118634  0.00651042]
 [-0.15509259  0.05338542]
 [-0.10821759  0.09830729]
 [-0.05743634  0.16080729]
 [-0.00470197  0.19205729]
 [-0.15118634 -0.01692708]
 [-0.05743634  0.17252604]
 [-0.05743634 -0.07747396]
 [-0.05743634 -0.04036458]
 [-0.05743634  0.01627604]
 [-0.00470197  0.18619792]
 [-0.03804977 -0.07834201]
 [-0.04195602  0.04079861]
 [-0.08492477 -0.06271701]
 [-0.04000289 -0.01584201]]","[[ 0.03190104  0.09693287]
 [ 0.08463542  0.08716725]
 [-0.01692708  0.11060475]
 [ 0.04361979  0.05787037]
 [ 0.09635417  0.03443287]
 [ 0.09635417  0.0285735 ]
 [-0.01779514 -0.00889757]
 [ 0.06901042  0.15162037]
 [ 0.00651042 -0.01244213]
 [ 0.05338542 -0.01244213]
 [ 0.09830729  0.01685475]
 [ 0.16080729 -0.07689525]
 [ 0.19205729  0.020761  ]
 [-0.01692708  0.09497975]
 [ 0.17252604  0.12622975]
 [-0.07747396  0.14966725]
 [-0.04036458  0.18872975]
 [ 0.01627604  0.16529225]
 [ 0.18619792  0.0598235 ]
 [-0.07834201  0.05555556]
 [ 0.04079861 -0.07530382]
 [-0.06271701 -0.03624132]
 [-0.01584201 -0.01475694]]","[[-0.15509259  0.09693287]
 [-0.10821759  0.08716725]
 [-0.05743634  0.11060475]
 [-0.05743634  0.05787037]
 [-0.05743634  0.03443287]
 [-0.05743634  0.0285735 ]
 [-0.04000289 -0.00889757]
 [-0.05743634  0.15162037]
 [-0.15118634 -0.01244213]
 [-0.15509259 -0.01244213]
 [-0.10821759  0.01685475]
 [-0.05743634 -0.07689525]
 [-0.00470197  0.020761  ]
 [-0.15118634  0.09497975]
 [-0.05743634  0.12622975]
 [-0.05743634  0.14966725]
 [-0.05743634  0.18872975]
 [-0.05743634  0.16529225]
 [-0.00470197  0.0598235 ]
 [-0.03804977  0.05555556]
 [-0.04195602 -0.07530382]
 [-0.08492477 -0.03624132]
 [-0.04000289 -0.01475694]]"
4,"[[ 0.01331676  0.00621449]
 [ 0.06995739  0.05894886]
 [ 0.00065104  0.0328776 ]
 [ 0.05338542  0.02311198]
 [ 0.06584821  0.05915179]
 [ 0.02675781 -0.00976562]
 [ 0.02871094 -0.00195312]
 [ 0.03261719  0.03515625]
 [ 0.08535156  0.08398438]
 [ 0.01722301  0.01012074]
 [ 0.01331676  0.05113636]
 [-0.04137074 -0.02112926]
 [ 0.01331676  0.04723011]
 [ 0.06995739  0.09801136]
 [ 0.05143229  0.01334635]
 [-0.00130208  0.02311198]
 [-0.05208333  0.0485026 ]
 [ 0.12248884  0.07087054]
 [ 0.12248884  0.13337054]
 [ 0.02871094  0.05664062]
 [ 0.02675781 -0.02539062]]","[[ 0.00621449  0.12677557]
 [ 0.05894886  0.10138494]
 [ 0.0328776   0.09407552]
 [ 0.02311198  0.11751302]
 [ 0.05915179  0.16378348]
 [-0.00976562  0.03027344]
 [-0.00195312  0.15527344]
 [ 0.03515625  0.18652344]
 [ 0.08398438  0.02636719]
 [ 0.01012074  0.26544744]
 [ 0.05113636 -0.07049006]
 [-0.02112926  0.06232244]
 [ 0.04723011 -0.04900568]
 [ 0.09801136 -0.09002131]
 [ 0.01334635 -0.04264323]
 [ 0.02311198 -0.07584635]
 [ 0.0485026   0.2014974 ]
 [ 0.07087054  0.25167411]
 [ 0.13337054  0.07784598]
 [ 0.05664062 -0.03027344]
 [-0.02539062  0.07910156]]","[[ 0.01331676  0.12677557]
 [ 0.06995739  0.10138494]
 [ 0.00065104  0.09407552]
 [ 0.05338542  0.11751302]
 [ 0.06584821  0.16378348]
 [ 0.02675781  0.03027344]
 [ 0.02871094  0.15527344]
 [ 0.03261719  0.18652344]
 [ 0.08535156  0.02636719]
 [ 0.01722301  0.26544744]
 [ 0.01331676 -0.07049006]
 [-0.04137074  0.06232244]
 [ 0.01331676 -0.04900568]
 [ 0.06995739 -0.09002131]
 [ 0.05143229 -0.04264323]
 [-0.00130208 -0.07584635]
 [-0.05208333  0.2014974 ]
 [ 0.12248884  0.25167411]
 [ 0.12248884  0.07784598]
 [ 0.02871094 -0.03027344]
 [ 0.02675781  0.07910156]]"
5,"[[-0.05875651 -0.0382487 ]
 [-0.06070964  0.0164388 ]
 [-0.06070964  0.0086263 ]
 [-0.04216452  0.01596967]
 [ 0.         -0.1171875 ]
 [ 0.         -0.0703125 ]
 [ 0.         -0.1171875 ]
 [-0.00602214  0.06526693]
 [-0.11149089 -0.04801432]
 [-0.00602214  0.0633138 ]
 [-0.0948989  -0.03285846]
 [-0.09685202  0.01596967]
 [-0.0948989  -0.03481158]]","[[-0.0382487   0.04654948]
 [ 0.0164388  -0.04134115]
 [ 0.0086263   0.03483073]
 [ 0.01596967  0.01642923]
 [-0.1171875  -0.00634766]
 [-0.0703125  -0.03759766]
 [-0.1171875   0.02880859]
 [ 0.06526693 -0.03352865]
 [-0.04801432  0.08365885]
 [ 0.0633138  -0.02766927]
 [-0.03285846  0.0301011 ]
 [ 0.01596967 -0.14372702]
 [-0.03481158  0.04963235]]","[[-0.05875651  0.04654948]
 [-0.06070964 -0.04134115]
 [-0.06070964  0.03483073]
 [-0.04216452  0.01642923]
 [ 0.         -0.00634766]
 [ 0.         -0.03759766]
 [ 0.          0.02880859]
 [-0.00602214 -0.03352865]
 [-0.11149089  0.08365885]
 [-0.00602214 -0.02766927]
 [-0.0948989   0.0301011 ]
 [-0.09685202 -0.14372702]
 [-0.0948989   0.04963235]]"
6,"[[ 0.0490579   0.06778493]
 [ 0.12800481 -0.01096755]
 [ 0.07917668  0.04176683]
 [ 0.07527043 -0.01096755]
 [ 0.02448918  0.0320012 ]
 [ 0.04710478  0.01309743]
 [-0.0056296   0.12247243]
 [ 0.04710478  0.01309743]
 [-0.0056296   0.0658318 ]
 [-0.0056296   0.12637868]]","[[ 0.06778493 -0.00022978]
 [-0.01096755 -0.05243389]
 [ 0.04176683 -0.09540264]
 [-0.01096755 -0.02313702]
 [ 0.0320012   0.04717548]
 [ 0.01309743  0.04664522]
 [ 0.12247243 -0.0568704 ]
 [ 0.01309743  0.04859835]
 [ 0.0658318   0.01734835]
 [ 0.12637868 -0.09397978]]","[[ 0.0490579  -0.00022978]
 [ 0.12800481 -0.05243389]
 [ 0.07917668 -0.09540264]
 [ 0.07527043 -0.02313702]
 [ 0.02448918  0.04717548]
 [ 0.04710478  0.04664522]
 [-0.0056296  -0.0568704 ]
 [ 0.04710478  0.04859835]
 [-0.0056296   0.01734835]
 [-0.0056296  -0.09397978]]"
7,"[[ 0.01595052 -0.04199219]
 [-0.03483073  0.01074219]
 [-0.0328776   0.04589844]
 [ 0.06673177 -0.04394531]
 [ 0.01790365  0.00292969]
 [-0.0328776   0.02636719]
 [ 0.          0.        ]
 [-0.05894886 -0.01846591]
 [ 0.05042614  0.03231534]
 [ 0.05042614 -0.01455966]
 [ 0.05042614  0.03231534]
 [-0.00426136 -0.01846591]
 [-0.00621449  0.03036222]
 [ 0.05042614  0.07919034]
 [ 0.06553819 -0.06727431]
 [ 0.01280382 -0.02039931]
 [ 0.01280382  0.02647569]
 [ 0.01280382 -0.07118056]
 [ 0.01280382 -0.03016493]
 [ 0.01280382  0.01866319]
 [ 0.01280382  0.07139757]
 [-0.01367188 -0.02636719]
 [ 0.04101562 -0.01074219]
 [-0.01367188  0.03417969]
 [ 0.01025391 -0.04443359]
 [ 0.05042614 -0.06143466]
 [-0.15516493  0.00499132]
 [ 0.01280382  0.06749132]
 [-0.01367188  0.00292969]]","[[-0.04199219  0.03841146]
 [ 0.01074219  0.11458333]
 [ 0.04589844 -0.06315104]
 [-0.04394531  0.07747396]
 [ 0.00292969  0.01888021]
 [ 0.02636719 -0.18619792]
 [ 0.          0.        ]
 [-0.01846591 -0.09836648]
 [ 0.03231534 -0.08664773]
 [-0.01455966 -0.10617898]
 [ 0.03231534 -0.16867898]
 [-0.01846591 -0.02414773]
 [ 0.03036222 -0.0612571 ]
 [ 0.07919034 -0.1003196 ]
 [-0.06727431  0.04340278]
 [-0.02039931  0.10199653]
 [ 0.02647569  0.0687934 ]
 [-0.07118056 -0.03667535]
 [-0.03016493 -0.1187066 ]
 [ 0.01866319 -0.10698785]
 [ 0.07139757 -0.0093316 ]
 [-0.02636719  0.07128906]
 [-0.01074219 -0.16894531]
 [ 0.03417969 -0.08496094]
 [-0.04443359 -0.01318359]
 [-0.06143466 -0.1862571 ]
 [ 0.00499132 -0.15386285]
 [ 0.06749132  0.21137153]
 [ 0.00292969  0.18261719]]","[[ 0.01595052  0.03841146]
 [-0.03483073  0.11458333]
 [-0.0328776  -0.06315104]
 [ 0.06673177  0.07747396]
 [ 0.01790365  0.01888021]
 [-0.0328776  -0.18619792]
 [ 0.          0.        ]
 [-0.05894886 -0.09836648]
 [ 0.05042614 -0.08664773]
 [ 0.05042614 -0.10617898]
 [ 0.05042614 -0.16867898]
 [-0.00426136 -0.02414773]
 [-0.00621449 -0.0612571 ]
 [ 0.05042614 -0.1003196 ]
 [ 0.06553819  0.04340278]
 [ 0.01280382  0.10199653]
 [ 0.01280382  0.0687934 ]
 [ 0.01280382 -0.03667535]
 [ 0.01280382 -0.1187066 ]
 [ 0.01280382 -0.10698785]
 [ 0.01280382 -0.0093316 ]
 [-0.01367188  0.07128906]
 [ 0.04101562 -0.16894531]
 [-0.01367188 -0.08496094]
 [ 0.01025391 -0.01318359]
 [ 0.05042614 -0.1862571 ]
 [-0.15516493 -0.15386285]
 [ 0.01280382  0.21137153]
 [-0.01367188  0.18261719]]"
